Fe,C,Si,Mn,Cr,Ni,Mo,P,S,test_temperature_C,impact_energy_J,KCV_J_cm2,transition_temp_C,ductile_fraction_percent,specimen_type
93.62,0.28,0.99,1.46,1.52,1.65,0.43,0.0237,0.0274,-20,7.7,9.6,129.1,0.0,Charpy_V
93.62,0.089,0.35,0.65,1.01,3.41,0.83,0.0265,0.0211,-20,11.1,13.9,95.4,0.0,Charpy_V
94.61,0.259,0.67,0.95,1.68,1.45,0.35,0.0286,0.0111,-40,11.2,14.0,126.3,0.0,Charpy_V
94.77,0.083,0.74,0.79,1.23,1.62,0.72,0.0296,0.0197,100,4.0,5.0,125.4,15.5,Charpy_V
93.91,0.272,0.31,0.77,0.95,3.09,0.66,0.0095,0.0235,-20,4.0,5.0,54.0,0.7,Charpy_V
91.95,0.59,0.54,0.62,3.49,2.74,0.03,0.0244,0.0209,-20,7.0,8.7,111.8,0.0,Charpy_V
89.58,0.339,0.72,0.62,4.94,2.94,0.81,0.0172,0.024,-20,4.0,5.0,97.4,0.0,Charpy_V
97.11,0.101,0.35,0.37,0.07,1.77,0.19,0.0131,0.0255,-20,4.5,5.7,68.2,0.3,Charpy_V
90.8,0.743,0.73,0.35,3.93,2.66,0.76,0.0181,0.006,-40,4.0,5.0,107.6,0.0,Charpy_V
90.05,0.11,0.29,0.55,4.15,4.31,0.53,0.0081,0.0084,20,15.9,19.8,40.1,20.7,Charpy_V
94.14,0.053,0.81,0.43,2.25,2.09,0.18,0.034,0.0201,-20,4.0,5.0,134.0,0.0,Charpy_V
97.17,0.572,0.42,0.85,0.01,0.32,0.62,0.0204,0.0159,-40,4.0,5.0,109.9,0.0,Charpy_V
88.88,0.745,0.63,1.76,4.48,2.79,0.68,0.026,0.0165,-40,4.0,5.0,121.4,0.0,Charpy_V
92.13,0.19,0.45,1.98,1.35,3.81,0.06,0.019,0.0065,-20,4.0,5.0,84.3,0.1,Charpy_V
89.28,0.667,0.87,1.39,4.17,3.5,0.09,0.0279,0.0095,0,4.0,5.0,132.4,0.0,Charpy_V
90.37,0.34,0.56,1.91,2.61,3.91,0.27,0.0096,0.0253,100,36.8,46.0,64.2,91.6,Charpy_V
91.08,0.689,0.8,1.34,4.25,1.65,0.17,0.0097,0.0118,0,4.0,5.0,88.5,0.3,Charpy_V
88.05,0.707,0.18,1.86,4.63,3.64,0.9,0.0281,0.0182,20,4.0,5.0,102.9,0.4,Charpy_V
90.97,0.195,0.57,0.5,4.82,2.54,0.38,0.0097,0.0154,-20,4.0,5.0,66.6,0.3,Charpy_V
96.09,0.579,0.23,1.47,0.11,0.75,0.71,0.0264,0.021,100,4.0,5.0,111.7,31.5,Charpy_V
91.72,0.372,0.34,1.13,2.02,4.13,0.25,0.011,0.029,-20,4.0,5.0,59.4,0.5,Charpy_V
94.38,0.511,0.49,0.34,1.64,2.1,0.49,0.0329,0.0077,20,4.0,5.0,128.8,0.1,Charpy_V
88.94,0.467,0.3,1.38,4.69,3.93,0.27,0.0139,0.0067,100,34.2,42.8,69.1,88.7,Charpy_V
90.85,0.357,0.25,0.91,3.23,4.06,0.3,0.0135,0.0245,-20,7.7,9.6,63.2,0.4,Charpy_V
91.83,0.712,0.51,1.57,0.73,4.47,0.15,0.0108,0.0077,20,4.0,5.0,70.3,3.4,Charpy_V
96.27,0.127,0.17,1.85,0.4,0.57,0.57,0.0277,0.015,20,14.9,18.7,104.3,0.4,Charpy_V
90.38,0.609,0.22,0.64,3.44,4.25,0.41,0.0344,0.0104,-40,6.1,7.6,114.0,0.0,Charpy_V
94.09,0.334,0.94,0.79,2.35,0.94,0.52,0.0307,0.0126,100,5.1,6.3,146.5,4.3,Charpy_V
93.07,0.695,0.57,1.5,0.11,3.04,0.96,0.0248,0.0281,100,4.0,5.0,114.6,27.4,Charpy_V
93.13,0.423,0.13,0.88,2.61,2.59,0.21,0.0283,0.0125,-40,4.0,5.0,100.1,0.0,Charpy_V
87.2,0.748,0.58,1.52,4.45,4.95,0.51,0.0292,0.0192,100,6.0,7.4,119.5,21.5,Charpy_V
89.66,0.356,0.69,1.92,2.64,3.94,0.75,0.0327,0.0104,0,6.9,8.7,128.1,0.0,Charpy_V
89.46,0.759,0.68,1.61,2.03,4.76,0.67,0.0143,0.0151,20,4.0,5.0,88.9,1.0,Charpy_V
90.96,0.226,0.78,0.68,2.96,3.49,0.86,0.027,0.025,100,7.0,8.8,119.3,21.6,Charpy_V
93.39,0.262,0.13,0.49,3.73,1.31,0.65,0.026,0.0136,100,4.0,5.0,97.7,53.9,Charpy_V
93.42,0.386,0.57,1.85,1.91,1.09,0.74,0.009,0.0273,100,4.6,5.8,74.3,84.7,Charpy_V
90.47,0.61,0.92,0.87,2.22,4.5,0.36,0.0194,0.0276,20,4.0,5.0,112.0,0.2,Charpy_V
88.12,0.233,0.39,0.9,4.56,4.99,0.77,0.0195,0.0053,0,5.2,6.5,81.0,0.4,Charpy_V
89.29,0.717,0.43,0.61,4.37,4.43,0.1,0.034,0.0183,-40,4.0,5.0,123.5,0.0,Charpy_V
94.22,0.058,0.36,0.62,0.83,3.64,0.24,0.0192,0.0112,-20,4.0,5.0,77.1,0.2,Charpy_V
92.87,0.502,0.84,0.46,3.55,1.62,0.12,0.0214,0.0107,-20,9.7,12.2,121.4,0.0,Charpy_V
91.63,0.082,0.19,1.19,2.94,3.65,0.26,0.0303,0.0288,100,21.1,26.4,95.4,57.6,Charpy_V
90.26,0.569,0.87,0.86,3.56,3.27,0.57,0.0208,0.0188,0,4.0,5.0,116.3,0.0,Charpy_V
89.12,0.208,0.81,0.49,4.48,4.2,0.68,0.007,0.0102,-20,4.0,5.0,61.6,0.4,Charpy_V
91.47,0.567,0.23,0.34,4.45,2.87,0.02,0.0348,0.0173,0,7.2,9.0,118.5,0.0,Charpy_V
93.37,0.601,0.19,1.36,2.18,2.03,0.23,0.0059,0.0262,-20,4.0,5.0,44.0,1.4,Charpy_V
95.32,0.576,0.86,0.44,0.85,1.45,0.48,0.0154,0.0176,100,8.5,10.6,108.3,36.5,Charpy_V
93.31,0.142,0.56,0.87,1.71,2.39,1.0,0.0173,0.0096,-40,4.0,5.0,88.1,0.0,Charpy_V
92.13,0.291,0.44,1.34,2.45,3.27,0.04,0.0082,0.0294,0,7.5,9.4,54.8,2.5,Charpy_V
93.33,0.491,0.12,1.94,1.54,2.25,0.28,0.0269,0.0171,0,4.0,5.0,99.4,0.1,Charpy_V
94.54,0.743,0.57,1.45,1.85,0.05,0.76,0.0311,0.0093,20,5.2,6.5,145.8,0.0,Charpy_V
96.52,0.173,0.91,0.8,1.17,0.07,0.3,0.0265,0.029,-20,4.0,5.0,140.8,0.0,Charpy_V
89.17,0.689,0.4,0.42,4.96,3.4,0.93,0.0153,0.0212,-40,4.0,5.0,81.9,0.0,Charpy_V
93.58,0.635,0.65,1.17,2.96,0.48,0.48,0.0348,0.0072,-20,4.0,5.0,149.7,0.0,Charpy_V
90.88,0.066,0.33,0.92,4.73,2.46,0.56,0.0314,0.0271,100,4.0,5.0,107.2,38.2,Charpy_V
92.64,0.662,0.34,0.32,0.77,4.93,0.32,0.0083,0.008,-20,14.6,18.2,51.9,0.8,Charpy_V
90.64,0.532,0.34,1.76,1.65,4.6,0.47,0.0053,0.0091,-20,4.0,5.0,38.4,2.0,Charpy_V
93.44,0.169,0.36,0.66,2.7,2.31,0.33,0.0286,0.0073,0,4.0,5.0,106.6,0.1,Charpy_V
94.44,0.085,0.43,1.18,0.06,2.87,0.89,0.0115,0.0282,-40,8.2,10.3,62.1,0.1,Charpy_V
90.67,0.669,0.86,0.74,4.79,2.08,0.14,0.0228,0.0299,100,4.0,5.0,125.7,15.3,Charpy_V
93.46,0.391,0.25,0.86,0.35,4.45,0.2,0.0277,0.0137,100,5.4,6.7,98.0,53.3,Charpy_V
90.56,0.288,0.97,0.46,2.93,3.95,0.81,0.0109,0.015,100,42.7,53.4,86.1,71.7,Charpy_V
94.26,0.435,0.2,1.4,2.23,1.09,0.35,0.0198,0.0073,-20,4.0,5.0,90.8,0.1,Charpy_V
92.64,0.549,0.19,1.7,1.61,2.98,0.28,0.027,0.0231,-20,17.2,21.5,100.9,0.0,Charpy_V
89.52,0.522,0.74,1.39,3.35,3.63,0.81,0.0171,0.0236,0,4.8,6.0,98.9,0.1,Charpy_V
91.01,0.718,0.47,0.35,3.47,3.92,0.02,0.0229,0.0197,-20,8.3,10.4,103.3,0.0,Charpy_V
88.11,0.603,0.76,1.77,4.61,3.88,0.23,0.0189,0.021,100,15.8,19.8,105.1,41.6,Charpy_V
92.41,0.76,0.19,0.88,0.67,4.18,0.88,0.02,0.0097,-20,4.0,5.0,84.3,0.1,Charpy_V
92.81,0.649,0.78,0.91,0.56,4.0,0.27,0.0066,0.0161,-40,4.0,5.0,67.0,0.1,Charpy_V
90.77,0.787,0.27,0.8,3.05,4.06,0.23,0.0173,0.0152,-40,4.0,5.0,81.3,0.0,Charpy_V
90.47,0.194,0.24,1.92,3.01,3.19,0.95,0.0119,0.0051,-20,4.0,5.0,57.2,0.6,Charpy_V
93.99,0.636,0.44,1.04,1.81,1.58,0.49,0.01,0.016,-40,4.0,5.0,73.3,0.1,Charpy_V
89.65,0.786,0.99,0.91,2.23,4.8,0.61,0.0114,0.0222,-20,5.7,7.1,93.7,0.1,Charpy_V
90.66,0.124,0.4,0.43,4.94,2.9,0.49,0.0286,0.0294,0,4.0,5.0,105.1,0.1,Charpy_V
93.98,0.159,0.19,1.05,2.82,1.47,0.3,0.0177,0.0129,-20,4.0,5.0,77.4,0.2,Charpy_V
92.19,0.081,0.31,1.67,4.17,0.56,0.97,0.0258,0.0118,20,4.0,5.0,104.8,0.3,Charpy_V
90.36,0.444,0.36,1.8,4.19,2.47,0.34,0.029,0.0099,-40,4.0,5.0,112.9,0.0,Charpy_V
93.23,0.084,0.13,1.13,1.28,3.45,0.65,0.0213,0.0138,0,4.0,5.0,74.0,0.7,Charpy_V
89.39,0.5,0.83,1.73,3.35,3.21,0.95,0.0165,0.0258,-40,4.0,5.0,102.5,0.0,Charpy_V
93.92,0.419,0.76,0.94,0.79,2.93,0.2,0.0187,0.0268,-20,4.0,5.0,104.6,0.0,Charpy_V
93.73,0.618,0.18,1.1,2.18,1.68,0.49,0.0182,0.0052,-20,4.0,5.0,85.5,0.1,Charpy_V
90.04,0.67,0.2,1.16,3.65,3.49,0.76,0.0187,0.0094,100,4.0,5.0,82.0,76.9,Charpy_V
92.72,0.675,0.22,0.35,1.37,4.5,0.13,0.0149,0.0129,0,4.0,5.0,69.7,0.9,Charpy_V
92.27,0.477,0.51,1.86,1.42,3.31,0.11,0.0168,0.0235,20,4.0,5.0,88.3,1.0,Charpy_V
95.37,0.557,0.8,0.76,0.3,2.03,0.14,0.0133,0.0287,-20,11.6,14.5,96.9,0.0,Charpy_V
90.83,0.118,0.82,1.14,1.94,4.75,0.37,0.01,0.0119,20,4.7,5.9,69.5,3.6,Charpy_V
94.97,0.552,0.8,1.51,1.03,0.58,0.54,0.011,0.0071,100,4.0,5.0,97.1,54.9,Charpy_V
91.81,0.167,0.14,1.0,4.04,2.45,0.37,0.0083,0.0063,0,5.5,6.9,42.0,5.7,Charpy_V
94.05,0.19,0.72,1.01,0.46,3.19,0.36,0.0066,0.0287,-40,4.0,5.0,58.3,0.1,Charpy_V
94.12,0.667,0.6,0.6,0.74,2.87,0.37,0.0217,0.0175,20,4.0,5.0,108.9,0.3,Charpy_V
88.24,0.552,0.43,1.8,4.0,4.63,0.31,0.0056,0.0253,0,4.0,5.0,44.1,5.0,Charpy_V
92.11,0.138,0.45,1.55,3.11,2.42,0.18,0.0291,0.0118,20,4.4,5.5,110.4,0.2,Charpy_V
89.4,0.36,0.67,0.69,3.25,5.0,0.6,0.0239,0.0078,0,4.0,5.0,106.2,0.1,Charpy_V
91.35,0.533,0.38,1.73,3.51,1.65,0.83,0.0196,0.0094,-40,6.0,7.5,96.9,0.0,Charpy_V
95.02,0.656,0.69,0.54,0.47,1.73,0.85,0.0339,0.011,0,4.0,5.0,142.9,0.0,Charpy_V
88.37,0.368,0.52,1.22,4.91,3.96,0.63,0.0159,0.0057,0,4.0,5.0,82.5,0.4,Charpy_V
88.62,0.301,0.9,1.12,4.5,4.43,0.08,0.0334,0.0069,-20,11.1,13.9,136.3,0.0,Charpy_V
92.25,0.577,0.91,0.68,3.02,2.17,0.38,0.0082,0.0084,100,5.6,7.1,84.2,74.2,Charpy_V
88.84,0.671,0.17,1.36,4.34,4.19,0.37,0.0274,0.0157,-20,11.2,13.9,98.9,0.0,Charpy_V
95.14,0.523,0.15,0.94,1.3,1.85,0.05,0.0267,0.0079,100,7.5,9.4,102.4,46.0,Charpy_V
92.98,0.773,0.58,1.19,1.84,2.13,0.48,0.0096,0.0141,20,4.0,5.0,77.6,2.1,Charpy_V
95.34,0.776,0.28,1.29,0.42,1.09,0.76,0.0141,0.0296,100,14.4,18.0,83.8,74.6,Charpy_V
95.59,0.125,0.62,0.41,0.88,1.63,0.71,0.0342,0.0136,20,4.6,5.7,130.8,0.1,Charpy_V
95.49,0.643,0.5,0.58,1.57,1.06,0.13,0.0163,0.0185,-20,4.0,5.0,98.2,0.0,Charpy_V
89.22,0.184,0.85,1.62,3.78,4.08,0.22,0.0269,0.0139,-40,4.0,5.0,119.4,0.0,Charpy_V
88.94,0.468,0.27,1.46,3.05,4.87,0.94,0.0053,0.007,-20,4.0,5.0,33.2,2.8,Charpy_V
91.58,0.413,0.75,0.92,1.77,3.78,0.78,0.0054,0.0086,0,12.4,15.5,57.2,2.2,Charpy_V
94.67,0.586,0.17,1.3,0.09,2.79,0.35,0.0243,0.0185,100,11.4,14.2,95.3,57.7,Charpy_V
95.32,0.194,0.18,1.37,1.97,0.81,0.12,0.0218,0.0125,100,20.4,25.5,91.4,63.9,Charpy_V
95.54,0.436,0.79,0.83,0.45,1.74,0.16,0.034,0.0194,-40,4.0,5.0,144.1,0.0,Charpy_V
94.7,0.644,0.4,0.61,1.4,1.66,0.56,0.0064,0.0279,20,4.0,5.0,57.4,7.6,Charpy_V
91.26,0.259,0.2,0.74,4.19,3.08,0.23,0.0312,0.025,0,4.0,5.0,104.3,0.1,Charpy_V
93.83,0.357,0.3,1.37,2.14,1.25,0.72,0.0108,0.0208,-40,4.0,5.0,67.1,0.1,Charpy_V
92.79,0.571,0.68,1.44,3.23,1.11,0.14,0.0344,0.0061,20,4.0,5.0,145.4,0.0,Charpy_V
94.12,0.506,0.24,0.74,2.83,1.09,0.42,0.0222,0.0293,-20,11.0,13.7,99.6,0.0,Charpy_V
89.73,0.588,0.23,0.34,4.13,4.2,0.75,0.0134,0.021,100,4.0,5.0,65.4,90.9,Charpy_V
91.95,0.735,0.31,1.28,1.8,3.32,0.56,0.0327,0.0075,100,4.0,5.0,119.2,21.7,Charpy_V
92.5,0.625,0.43,0.58,2.52,3.26,0.04,0.0137,0.0252,-20,4.0,5.0,78.7,0.1,Charpy_V
90.7,0.671,0.71,1.1,4.58,1.96,0.24,0.0248,0.0193,20,4.3,5.4,124.4,0.1,Charpy_V
91.16,0.308,0.46,0.79,3.55,3.26,0.44,0.0169,0.0141,100,25.7,32.1,83.7,74.8,Charpy_V
89.91,0.291,0.59,1.62,1.98,4.72,0.83,0.0345,0.0269,-20,4.0,5.0,124.1,0.0,Charpy_V
89.53,0.586,0.34,1.06,4.48,3.78,0.17,0.0316,0.0197,100,14.6,18.2,114.9,27.1,Charpy_V
91.85,0.707,0.86,1.64,0.07,4.56,0.27,0.0316,0.0099,0,4.0,5.0,137.2,0.0,Charpy_V
93.96,0.711,0.59,0.85,2.74,1.09,0.03,0.0231,0.0229,100,4.0,5.0,119.8,21.1,Charpy_V
88.02,0.277,0.56,1.4,4.83,4.17,0.72,0.0194,0.0148,-40,8.7,10.9,91.4,0.0,Charpy_V
89.31,0.298,0.51,0.37,4.45,4.27,0.78,0.0067,0.0094,-20,18.0,22.5,49.4,1.0,Charpy_V
90.4,0.46,0.82,1.58,3.86,2.5,0.35,0.033,0.0064,-40,4.0,5.0,141.0,0.0,Charpy_V
94.26,0.667,0.29,1.45,2.53,0.73,0.02,0.0329,0.0081,-40,4.0,5.0,129.1,0.0,Charpy_V
90.47,0.189,0.26,1.3,2.73,4.38,0.64,0.0296,0.0058,0,10.1,12.7,98.3,0.1,Charpy_V
93.22,0.573,0.52,1.59,2.92,0.27,0.89,0.0142,0.0084,-40,4.6,5.8,97.8,0.0,Charpy_V
89.68,0.469,0.65,1.88,3.28,3.24,0.76,0.031,0.0115,0,10.3,12.9,127.3,0.0,Charpy_V
94.81,0.663,0.13,0.43,0.35,2.96,0.6,0.0322,0.0167,100,7.7,9.7,110.2,33.6,Charpy_V
93.31,0.798,0.47,0.33,1.17,2.94,0.96,0.0081,0.008,20,4.8,6.0,64.7,4.8,Charpy_V
91.95,0.55,0.33,1.68,0.64,4.63,0.2,0.0074,0.0135,0,5.8,7.3,47.3,4.1,Charpy_V
89.59,0.182,0.41,1.25,3.4,4.36,0.76,0.0159,0.0255,-40,4.0,5.0,72.6,0.1,Charpy_V
93.42,0.483,0.58,0.65,0.71,3.79,0.32,0.0123,0.0234,20,4.0,5.0,77.1,2.2,Charpy_V
89.45,0.345,0.51,1.56,2.96,4.81,0.33,0.0212,0.0253,100,10.5,13.2,93.0,61.4,Charpy_V
91.0,0.46,0.28,1.0,2.66,3.9,0.65,0.0178,0.0294,-20,8.8,10.9,78.9,0.1,Charpy_V
94.42,0.253,0.26,0.8,1.23,2.24,0.75,0.0216,0.0202,-40,4.0,5.0,89.0,0.0,Charpy_V
91.17,0.199,0.45,1.13,1.75,4.68,0.56,0.0303,0.024,-20,4.0,5.0,107.7,0.0,Charpy_V
91.67,0.51,0.42,0.5,2.22,3.68,0.96,0.0162,0.0186,20,4.0,5.0,82.3,1.5,Charpy_V
91.1,0.131,0.37,0.66,4.76,2.05,0.88,0.0295,0.0253,0,4.0,5.0,109.1,0.1,Charpy_V
90.91,0.749,0.25,0.57,4.75,2.55,0.19,0.0196,0.0246,100,10.7,13.3,90.6,65.2,Charpy_V
89.4,0.567,0.59,0.89,4.18,4.29,0.05,0.017,0.0057,0,4.0,5.0,91.0,0.2,Charpy_V
93.93,0.161,0.36,0.35,3.72,1.29,0.12,0.026,0.0261,-20,4.0,5.0,105.6,0.0,Charpy_V
92.34,0.289,0.54,0.43,4.14,1.33,0.89,0.0229,0.0192,100,6.3,7.9,109.3,34.9,Charpy_V
89.8,0.67,0.29,0.96,3.2,4.37,0.66,0.0302,0.0168,0,7.5,9.4,109.2,0.1,Charpy_V
90.36,0.785,0.24,1.88,2.61,3.22,0.88,0.0173,0.0155,-20,4.0,5.0,82.4,0.1,Charpy_V
90.37,0.268,0.94,0.45,2.3,4.74,0.9,0.026,0.0197,-40,4.0,5.0,121.5,0.0,Charpy_V
91.13,0.471,0.95,1.59,3.44,2.08,0.29,0.0212,0.0271,20,4.0,5.0,123.4,0.1,Charpy_V
94.93,0.349,0.22,0.43,3.02,0.95,0.06,0.0319,0.0184,20,4.9,6.1,117.4,0.2,Charpy_V
91.69,0.142,0.5,0.38,2.59,3.98,0.68,0.0203,0.0257,100,23.5,29.4,87.9,69.1,Charpy_V
92.57,0.16,0.89,0.66,1.47,3.53,0.68,0.029,0.0096,20,8.6,10.7,126.4,0.1,Charpy_V
94.67,0.726,0.39,0.46,1.05,2.37,0.29,0.0186,0.024,20,4.0,5.0,94.8,0.7,Charpy_V
96.21,0.279,0.71,0.53,1.5,0.28,0.47,0.0113,0.0073,0,4.0,5.0,92.0,0.2,Charpy_V
92.95,0.313,0.58,1.57,0.56,3.96,0.03,0.0183,0.0197,-20,4.0,5.0,90.8,0.1,Charpy_V
94.3,0.438,0.46,1.11,0.99,2.5,0.15,0.0273,0.0198,-20,4.0,5.0,113.1,0.0,Charpy_V
93.99,0.717,0.65,0.84,0.23,3.16,0.37,0.0322,0.0059,0,5.7,7.2,133.7,0.0,Charpy_V
97.99,0.702,0.19,0.71,0.12,0.22,0.03,0.029,0.0125,-40,4.0,5.0,121.7,0.0,Charpy_V
92.47,0.682,0.17,1.82,1.96,2.4,0.44,0.0209,0.02,-20,9.1,11.4,90.1,0.1,Charpy_V
93.78,0.513,0.34,0.75,4.32,0.06,0.18,0.0233,0.0254,-40,10.9,13.6,115.7,0.0,Charpy_V
90.25,0.54,0.6,0.41,3.11,4.07,0.99,0.0059,0.0215,0,4.0,5.0,54.2,2.6,Charpy_V
91.9,0.296,0.36,1.23,1.63,4.32,0.21,0.0315,0.0216,-40,9.2,11.5,109.1,0.0,Charpy_V
92.52,0.431,0.68,1.26,1.83,3.21,0.03,0.0161,0.0183,100,12.8,16.1,93.7,60.3,Charpy_V
89.33,0.243,0.34,1.36,4.72,3.3,0.67,0.0346,0.0088,0,4.0,5.0,116.1,0.0,Charpy_V
93.73,0.609,0.49,1.03,1.13,2.53,0.44,0.0154,0.0161,100,11.2,14.0,88.4,68.4,Charpy_V
93.43,0.355,0.77,0.64,4.06,0.42,0.27,0.0297,0.0237,100,4.0,5.0,141.2,6.0,Charpy_V
94.81,0.517,0.62,1.9,1.16,0.29,0.65,0.0272,0.0121,0,4.0,5.0,133.4,0.0,Charpy_V
93.06,0.32,0.25,1.73,1.95,2.65,0.02,0.0068,0.0199,-40,4.0,5.0,43.5,0.4,Charpy_V
89.83,0.42,0.25,0.5,4.5,3.51,0.97,0.0075,0.0276,100,22.9,28.6,45.2,97.5,Charpy_V
91.67,0.757,0.6,1.14,1.68,3.58,0.54,0.033,0.011,-20,4.0,5.0,131.8,0.0,Charpy_V
92.22,0.541,0.73,0.88,1.6,3.92,0.05,0.0278,0.0253,-20,4.0,5.0,123.0,0.0,Charpy_V
92.02,0.769,0.98,1.2,2.58,1.43,1.0,0.0132,0.0163,0,4.0,5.0,110.2,0.1,Charpy_V
91.97,0.312,0.16,1.56,2.81,2.86,0.29,0.0294,0.0051,0,8.6,10.7,101.2,0.1,Charpy_V
93.49,0.179,0.72,1.26,0.74,3.44,0.14,0.017,0.0127,20,4.0,5.0,91.9,0.8,Charpy_V
94.19,0.637,0.25,1.68,0.04,2.65,0.52,0.0237,0.011,-20,4.0,5.0,98.7,0.0,Charpy_V
92.26,0.719,0.26,1.02,2.17,2.76,0.78,0.0192,0.0056,-20,4.0,5.0,88.7,0.1,Charpy_V
92.9,0.369,0.63,0.77,1.3,3.39,0.6,0.01,0.0271,0,4.0,5.0,71.0,0.9,Charpy_V
91.86,0.571,0.42,0.58,2.59,3.62,0.32,0.0087,0.0257,20,4.0,5.0,59.5,6.7,Charpy_V
95.79,0.162,0.12,1.65,0.01,1.72,0.49,0.0296,0.026,-20,4.0,5.0,100.5,0.0,Charpy_V
92.26,0.095,0.1,1.84,4.71,0.47,0.49,0.0095,0.0287,0,8.0,10.0,52.8,2.9,Charpy_V
94.31,0.426,0.25,0.87,1.33,2.38,0.42,0.0149,0.0076,0,4.0,5.0,74.1,0.7,Charpy_V
91.44,0.655,0.23,1.12,3.73,2.43,0.36,0.0192,0.0262,-40,4.0,5.0,88.2,0.0,Charpy_V
90.65,0.262,0.4,1.49,2.69,4.29,0.18,0.013,0.0285,100,43.7,54.7,65.7,90.8,Charpy_V
89.26,0.498,0.62,1.42,4.28,3.66,0.21,0.019,0.0295,0,4.0,5.0,98.4,0.1,Charpy_V
92.02,0.537,0.53,0.56,3.72,2.06,0.53,0.034,0.0172,-40,9.0,11.3,133.0,0.0,Charpy_V
91.6,0.421,0.39,1.0,4.48,1.8,0.29,0.0156,0.0104,0,4.0,5.0,84.4,0.4,Charpy_V
95.46,0.498,0.56,1.63,1.33,0.08,0.41,0.0202,0.0124,0,6.1,7.6,117.4,0.0,Charpy_V
91.43,0.671,0.19,1.45,1.33,3.93,0.96,0.032,0.0079,-40,7.7,9.6,109.9,0.0,Charpy_V
91.17,0.26,0.76,0.32,4.69,2.23,0.52,0.0347,0.0176,20,4.0,5.0,138.7,0.0,Charpy_V
90.7,0.492,0.16,1.14,4.96,1.94,0.59,0.0082,0.0085,100,28.0,35.0,50.8,96.4,Charpy_V
90.4,0.325,0.66,1.87,2.88,3.19,0.64,0.0234,0.009,0,4.0,5.0,109.0,0.1,Charpy_V
93.01,0.245,0.28,0.9,0.37,4.28,0.86,0.0174,0.0203,0,4.0,5.0,72.9,0.8,Charpy_V
91.13,0.3,0.93,1.22,2.68,3.35,0.34,0.0267,0.013,-20,4.0,5.0,127.5,0.0,Charpy_V
93.52,0.455,0.47,1.72,0.37,2.86,0.58,0.0165,0.0155,0,5.9,7.3,86.8,0.3,Charpy_V
90.01,0.319,0.73,0.39,3.94,4.15,0.4,0.0242,0.0265,100,4.0,5.0,111.0,32.5,Charpy_V
90.99,0.266,0.65,0.61,4.54,2.06,0.85,0.0125,0.0128,100,31.0,38.8,82.8,75.9,Charpy_V
91.71,0.243,0.54,1.91,1.94,3.2,0.43,0.0064,0.0176,-40,4.0,5.0,51.1,0.2,Charpy_V
89.55,0.65,0.53,0.55,3.43,4.7,0.57,0.008,0.0064,0,4.0,5.0,59.6,1.8,Charpy_V
92.52,0.742,0.59,0.41,2.02,3.29,0.38,0.035,0.0151,-40,4.0,5.0,136.1,0.0,Charpy_V
93.04,0.534,0.63,0.31,1.42,3.22,0.81,0.0144,0.0212,-40,4.0,5.0,88.1,0.0,Charpy_V
89.81,0.589,0.92,1.39,3.37,3.61,0.26,0.0225,0.0261,-20,4.0,5.0,121.6,0.0,Charpy_V
90.44,0.367,0.66,0.98,4.19,2.41,0.9,0.0203,0.0215,-40,6.6,8.3,105.3,0.0,Charpy_V
90.39,0.16,0.76,0.54,4.19,2.98,0.94,0.031,0.0069,20,4.0,5.0,126.7,0.1,Charpy_V
94.09,0.322,0.87,1.51,2.83,0.1,0.24,0.0291,0.0111,-20,4.0,5.0,147.4,0.0,Charpy_V
93.71,0.086,0.59,1.99,1.71,1.72,0.13,0.0252,0.0212,20,4.0,5.0,109.7,0.3,Charpy_V
94.03,0.551,0.59,1.67,0.88,1.3,0.92,0.0329,0.0161,-20,4.0,5.0,137.3,0.0,Charpy_V
93.6,0.235,0.47,0.84,4.14,0.02,0.64,0.0249,0.0215,100,4.0,5.0,121.6,19.2,Charpy_V
90.16,0.089,0.95,1.08,3.37,3.44,0.87,0.0249,0.0191,0,4.0,5.0,118.4,0.0,Charpy_V
90.37,0.405,0.49,1.18,4.04,3.28,0.19,0.027,0.0198,-40,9.3,11.6,111.0,0.0,Charpy_V
91.92,0.449,0.3,1.35,4.84,0.62,0.51,0.0065,0.013,0,4.0,5.0,56.4,2.3,Charpy_V
90.61,0.681,0.76,1.09,4.55,1.51,0.75,0.0192,0.0275,100,13.1,16.4,115.4,26.4,Charpy_V
89.79,0.435,0.96,1.73,4.61,1.86,0.55,0.0302,0.0276,0,4.0,5.0,143.9,0.0,Charpy_V
93.96,0.681,0.19,1.91,0.91,2.07,0.22,0.0308,0.0237,0,4.0,5.0,114.0,0.0,Charpy_V
94.71,0.589,0.85,0.83,1.39,1.21,0.39,0.0076,0.0217,20,4.0,5.0,83.5,1.4,Charpy_V
91.44,0.258,0.73,1.0,1.58,4.7,0.26,0.0169,0.0146,0,4.0,5.0,90.5,0.2,Charpy_V
92.92,0.284,0.6,0.53,1.0,4.51,0.11,0.017,0.0241,20,4.0,5.0,86.0,1.2,Charpy_V
96.35,0.247,0.43,0.97,0.59,1.13,0.26,0.007,0.0132,-40,4.0,5.0,57.3,0.2,Charpy_V
91.86,0.295,0.21,0.69,1.16,4.93,0.84,0.0055,0.0204,-40,12.9,16.1,28.6,1.0,Charpy_V
93.02,0.586,0.32,0.44,4.21,1.25,0.15,0.0158,0.015,-40,4.0,5.0,86.9,0.0,Charpy_V
