Fe,C,Si,Mn,Cr,Ni,Mo,V,tensile_strength_MPa,fatigue_limit_MPa,fatigue_ratio,basquin_exponent,cycles_to_failure_1e6,test_type,R_ratio
72.62,0.551,1.43,1.52,16.74,6.33,0.78,0.026,1724.0,878.5,0.51,-0.0831,8.0,torsion,0.0
68.44,0.241,0.63,1.35,17.46,8.73,2.77,0.381,1564.4,897.2,0.573,-0.1035,6.81,torsion,0.1
81.97,0.767,0.94,1.13,9.52,4.01,1.56,0.099,1698.8,785.0,0.462,-0.0888,8.0,axial,0.0
84.04,0.912,1.23,0.53,1.25,10.72,1.16,0.144,1792.9,883.5,0.493,-0.0648,8.0,rotating_bending,0.0
77.52,0.437,1.39,0.32,9.95,8.89,1.46,0.043,1493.4,779.2,0.522,-0.1008,6.98,rotating_bending,0.1
79.05,0.95,1.15,1.08,15.22,1.37,0.77,0.414,2018.7,1050.1,0.52,-0.0561,8.0,rotating_bending,0.1
79.72,0.961,0.66,1.02,6.89,8.63,1.64,0.472,1939.1,958.7,0.494,-0.078,8.0,torsion,0.0
75.02,0.448,1.02,0.9,11.11,10.62,0.69,0.202,1526.7,865.3,0.567,-0.0629,8.0,axial,-1.0
78.75,0.741,1.08,0.78,11.35,5.47,1.45,0.379,1762.5,1008.1,0.572,-0.1116,6.02,axial,-1.0
88.63,0.679,0.33,0.41,5.71,2.64,1.55,0.051,1373.3,711.7,0.518,-0.0606,8.0,axial,-1.0
79.21,1.04,1.07,0.32,7.09,10.21,1.04,0.018,2018.6,917.6,0.455,-0.0828,8.0,torsion,0.0
74.67,0.877,0.48,0.84,15.21,5.72,2.01,0.201,1996.7,1031.8,0.517,-0.0775,8.0,rotating_bending,0.0
91.52,0.595,0.42,1.35,0.73,3.91,1.41,0.074,1257.7,623.2,0.496,-0.0895,7.74,torsion,-1.0
90.92,0.416,0.11,0.95,5.43,0.45,1.52,0.202,1098.7,557.4,0.507,-0.0777,8.0,torsion,-1.0
78.35,1.174,0.36,1.06,8.79,9.76,0.3,0.214,2069.9,1057.9,0.511,-0.0596,8.0,torsion,0.0
87.48,0.087,0.43,0.83,7.18,2.91,0.61,0.477,905.9,493.6,0.545,-0.1122,5.99,rotating_bending,0.1
76.48,0.484,1.22,1.04,15.65,2.17,2.84,0.109,1671.9,895.4,0.536,-0.0785,8.0,rotating_bending,0.0
86.51,0.904,0.42,0.4,5.4,5.69,0.5,0.177,1633.6,771.2,0.472,-0.1116,6.46,torsion,0.0
78.0,1.067,0.31,1.32,11.97,5.03,2.1,0.205,2073.2,1140.0,0.55,-0.0753,8.0,torsion,0.1
74.64,0.473,1.47,1.02,9.04,10.92,2.15,0.291,1648.0,907.7,0.551,-0.0631,8.0,axial,0.0
75.54,1.162,1.08,0.44,15.53,5.77,0.21,0.275,2263.6,1116.5,0.493,-0.0654,8.0,rotating_bending,0.1
76.1,0.996,0.54,0.98,9.05,10.07,1.95,0.308,2044.7,977.6,0.478,-0.0842,8.0,torsion,-1.0
82.32,0.282,0.11,0.43,6.77,9.85,0.02,0.228,1093.0,525.1,0.48,-0.0997,7.22,torsion,0.1
76.24,0.65,0.27,1.93,11.45,9.19,0.24,0.024,1634.9,736.2,0.45,-0.1037,7.36,rotating_bending,0.0
86.23,0.576,0.51,1.26,2.01,7.31,1.71,0.396,1432.8,736.4,0.514,-0.0858,8.0,torsion,0.0
77.0,0.635,0.73,0.77,17.26,1.71,1.74,0.141,1710.0,888.6,0.52,-0.0907,8.0,rotating_bending,-1.0
88.82,0.113,0.91,0.44,2.78,5.27,1.53,0.129,871.5,399.4,0.458,-0.057,8.0,torsion,0.0
84.09,0.435,0.9,1.85,0.11,9.73,2.85,0.046,1336.2,589.6,0.441,-0.0574,8.0,rotating_bending,-1.0
78.49,0.078,0.85,1.47,13.48,2.56,2.6,0.478,1210.2,600.3,0.496,-0.1117,6.73,rotating_bending,-1.0
91.13,0.116,1.28,0.4,4.89,1.25,0.89,0.045,848.4,423.3,0.499,-0.107,6.51,axial,0.1
79.22,0.246,0.64,0.89,7.77,9.38,1.45,0.397,1192.4,646.2,0.542,-0.1007,6.81,rotating_bending,-1.0
78.97,0.63,0.47,0.32,11.67,6.13,1.34,0.483,1655.3,883.5,0.534,-0.0632,8.0,torsion,-1.0
78.79,0.705,1.32,1.29,12.92,4.46,0.28,0.229,1771.4,861.7,0.486,-0.057,8.0,torsion,0.0
73.31,0.335,0.59,1.82,17.4,5.32,0.96,0.263,1478.9,836.4,0.566,-0.0986,7.07,rotating_bending,0.0
80.81,0.172,1.25,0.54,13.45,0.57,2.85,0.356,1297.3,709.4,0.547,-0.0765,8.0,rotating_bending,0.1
86.52,0.833,1.1,1.33,1.59,8.12,0.19,0.298,1647.0,807.7,0.49,-0.1023,6.76,torsion,0.0
72.1,0.987,0.68,0.83,16.88,8.13,0.36,0.034,2049.5,1026.7,0.501,-0.0623,8.0,axial,0.1
82.37,0.873,0.48,1.59,13.0,0.09,1.53,0.07,1793.2,1015.8,0.566,-0.0627,8.0,torsion,0.1
86.38,0.561,0.52,1.52,6.46,3.21,1.3,0.046,1337.4,618.6,0.463,-0.0769,8.0,axial,-1.0
76.28,0.944,0.42,0.6,15.59,5.33,0.41,0.431,1993.6,1138.4,0.571,-0.056,8.0,rotating_bending,0.1
74.17,1.185,0.42,1.43,10.97,10.98,0.47,0.376,2196.7,1118.5,0.509,-0.095,7.57,torsion,0.0
85.76,1.072,0.9,1.37,9.34,0.61,0.7,0.246,1942.3,937.3,0.483,-0.1041,7.03,rotating_bending,0.0
69.09,0.347,0.75,0.53,16.7,10.41,2.12,0.053,1600.6,925.0,0.578,-0.1082,6.35,rotating_bending,-1.0
77.4,0.624,1.17,0.75,14.52,3.02,2.47,0.043,1741.2,1014.0,0.582,-0.085,8.0,axial,0.1
92.01,0.203,1.07,1.65,2.94,1.25,0.44,0.439,878.2,382.3,0.435,-0.076,8.0,rotating_bending,0.1
94.14,1.002,0.98,0.43,2.02,0.59,0.77,0.068,1687.6,747.0,0.443,-0.0919,8.0,torsion,0.0
72.79,1.165,0.74,1.16,10.3,11.19,2.57,0.085,2263.9,1256.3,0.555,-0.0788,8.0,torsion,-1.0
86.29,1.198,0.2,0.68,7.34,4.17,0.06,0.046,1849.0,932.2,0.504,-0.0622,8.0,torsion,0.1
75.99,0.67,0.46,1.61,13.53,7.06,0.64,0.049,1701.5,944.5,0.555,-0.0635,8.0,axial,0.0
83.71,1.118,1.0,0.83,9.46,0.79,2.92,0.18,2050.6,1066.9,0.52,-0.0937,7.67,rotating_bending,-1.0
88.16,0.812,1.1,0.76,5.68,1.5,1.97,0.02,1654.8,888.0,0.537,-0.0881,7.75,torsion,0.1
84.71,0.139,1.04,1.7,4.4,5.06,2.52,0.439,1107.9,524.8,0.474,-0.082,8.0,axial,-1.0
77.06,0.342,0.98,0.34,12.97,6.17,1.82,0.316,1506.3,833.9,0.554,-0.0698,8.0,axial,-1.0
82.49,0.262,0.18,1.3,15.13,0.21,0.15,0.286,1180.6,664.9,0.563,-0.0954,7.19,rotating_bending,-1.0
75.58,0.736,0.48,0.35,13.23,7.51,1.74,0.371,1778.9,918.1,0.516,-0.1074,6.77,axial,0.0
81.69,0.828,1.3,1.94,11.31,2.21,0.32,0.406,1845.8,963.2,0.522,-0.0779,8.0,axial,0.0
72.63,0.859,1.27,0.4,13.46,10.21,0.86,0.32,2029.3,955.8,0.471,-0.0802,8.0,torsion,0.1
77.5,0.869,0.35,0.7,8.9,10.98,0.64,0.072,1811.7,953.0,0.526,-0.085,8.0,torsion,-1.0
78.79,0.341,1.35,1.28,6.31,9.99,1.48,0.456,1409.4,669.6,0.475,-0.0623,8.0,rotating_bending,-1.0
84.42,1.139,0.39,1.34,4.02,6.55,2.05,0.095,2014.8,989.2,0.491,-0.0869,8.0,torsion,0.0
81.41,0.157,0.3,0.48,7.61,9.55,0.42,0.065,982.2,437.8,0.446,-0.105,7.18,rotating_bending,0.0
74.91,0.457,1.02,1.21,12.19,8.19,1.89,0.133,1602.6,754.9,0.471,-0.0877,8.0,torsion,0.1
72.95,1.007,1.49,0.58,12.45,8.09,2.94,0.493,2225.7,1290.1,0.58,-0.1086,6.3,torsion,0.1
82.59,1.097,0.64,1.37,7.74,5.25,0.93,0.381,2029.9,1117.4,0.55,-0.0586,8.0,rotating_bending,-1.0
89.6,1.056,1.13,0.73,1.21,3.22,2.74,0.317,1839.0,939.7,0.511,-0.1133,6.09,rotating_bending,0.0
66.08,0.576,0.23,1.83,16.84,11.76,2.61,0.087,1895.9,939.6,0.496,-0.0802,8.0,axial,0.1
89.46,0.254,0.11,1.67,1.38,4.96,2.04,0.118,984.5,483.4,0.491,-0.0557,8.0,rotating_bending,-1.0
83.6,0.121,1.13,1.19,3.84,9.38,0.61,0.13,1006.6,435.5,0.433,-0.091,8.0,torsion,0.0
93.17,0.642,1.09,1.84,2.48,0.65,0.06,0.072,1348.9,664.7,0.493,-0.1004,6.85,rotating_bending,0.0
73.32,0.606,0.19,1.34,17.71,4.33,2.26,0.25,1776.5,905.5,0.51,-0.0801,8.0,torsion,-1.0
83.19,0.09,0.99,1.76,6.21,4.68,2.67,0.407,1060.8,591.7,0.558,-0.1057,6.38,axial,0.0
84.32,0.369,0.73,0.89,3.11,7.46,2.65,0.48,1319.1,612.7,0.465,-0.072,8.0,torsion,-1.0
71.78,0.445,0.13,1.47,17.02,7.59,1.31,0.263,1609.5,923.9,0.574,-0.1063,6.49,rotating_bending,0.1
88.44,0.36,1.48,0.95,3.2,4.22,1.32,0.035,1156.9,561.5,0.485,-0.0791,8.0,torsion,-1.0
82.29,0.084,0.86,0.39,12.62,0.67,2.74,0.351,1005.7,497.8,0.495,-0.0975,7.72,axial,0.0
76.77,1.09,0.1,1.31,12.95,7.42,0.25,0.109,2061.1,998.5,0.484,-0.0651,8.0,axial,0.0
74.03,0.61,1.41,1.38,16.18,5.48,0.45,0.465,1758.6,903.4,0.514,-0.112,6.53,axial,-1.0
83.17,1.116,1.09,1.01,9.31,1.01,2.95,0.333,2101.0,1052.4,0.501,-0.0799,8.0,torsion,0.0
81.4,1.161,0.34,1.4,4.42,8.61,2.33,0.337,2116.7,956.2,0.452,-0.0951,7.98,rotating_bending,0.1
73.11,0.663,1.49,1.66,15.22,7.62,0.12,0.103,1838.4,1050.2,0.571,-0.093,7.28,rotating_bending,0.1
80.5,0.439,0.11,1.46,14.86,1.76,0.48,0.395,1372.0,747.0,0.544,-0.0965,7.3,rotating_bending,0.0
72.37,0.935,1.24,0.98,17.05,4.88,2.32,0.242,2170.2,1306.2,0.602,-0.0605,8.0,axial,0.1
71.11,0.999,1.21,0.64,14.49,10.2,0.87,0.476,2284.3,1258.5,0.551,-0.114,6.11,torsion,0.1
71.16,0.215,0.12,1.26,16.78,7.99,2.47,0.007,1416.1,783.1,0.553,-0.0874,8.0,torsion,-1.0
77.28,0.133,1.06,1.16,13.77,5.82,0.45,0.324,1211.2,649.8,0.536,-0.1056,6.65,torsion,0.1
80.64,0.646,0.2,1.37,4.56,9.64,2.45,0.489,1605.6,808.9,0.504,-0.0877,8.0,axial,-1.0
88.09,0.202,0.87,1.23,1.61,5.02,2.56,0.428,1075.5,483.5,0.45,-0.0718,8.0,axial,-1.0
89.63,1.155,1.36,1.48,1.74,3.29,0.96,0.382,1942.7,984.9,0.507,-0.0919,7.5,axial,-1.0
76.25,0.196,0.7,0.57,12.61,9.11,0.32,0.253,1251.9,650.2,0.519,-0.0913,7.81,torsion,-1.0
70.89,0.617,0.76,1.13,15.24,9.98,1.21,0.167,1800.2,958.2,0.532,-0.0806,8.0,torsion,0.0
89.6,0.963,0.78,0.87,1.92,2.87,2.85,0.153,1737.5,811.1,0.467,-0.1129,6.46,torsion,0.0
81.62,0.384,0.21,0.81,12.1,3.95,0.83,0.092,1234.0,634.0,0.514,-0.0984,7.27,rotating_bending,0.0
83.25,0.138,1.03,0.7,8.81,3.43,2.17,0.473,1127.9,581.4,0.515,-0.0659,8.0,axial,0.0
89.62,0.261,1.25,1.03,3.4,3.38,0.8,0.26,1074.8,483.8,0.45,-0.1076,6.87,rotating_bending,0.1
80.85,1.173,0.63,1.87,9.81,3.24,2.11,0.329,2153.9,1024.9,0.476,-0.1148,6.53,torsion,0.1
88.4,0.973,1.2,1.17,5.4,1.82,0.85,0.188,1780.4,915.0,0.514,-0.0826,8.0,axial,0.0
82.71,0.764,0.99,1.49,2.02,10.19,1.6,0.236,1694.7,738.4,0.436,-0.1134,6.63,axial,0.1
83.34,1.193,0.34,1.44,3.12,8.7,1.52,0.34,2039.1,924.3,0.453,-0.0703,8.0,torsion,0.1
84.78,0.815,0.79,1.87,0.29,8.76,2.67,0.031,1646.3,795.2,0.483,-0.076,8.0,axial,-1.0
84.03,0.579,0.49,0.93,2.87,10.63,0.03,0.441,1396.8,671.4,0.481,-0.0951,7.46,torsion,0.1
87.95,0.634,0.8,0.49,7.01,2.89,0.05,0.18,1383.7,611.6,0.442,-0.1089,6.91,axial,0.0
82.96,1.2,0.1,1.39,2.54,11.05,0.28,0.478,2010.2,977.8,0.486,-0.1149,6.09,rotating_bending,0.0
73.45,0.65,0.47,1.6,16.68,5.8,0.95,0.394,1809.9,1023.8,0.566,-0.1004,6.94,rotating_bending,-1.0
86.5,0.974,0.31,0.92,6.72,1.82,2.4,0.354,1818.5,863.2,0.475,-0.093,8.0,torsion,0.0
83.98,0.253,1.44,0.42,6.39,6.04,1.48,0.002,1095.8,595.8,0.544,-0.1055,6.35,torsion,0.1
83.36,0.499,1.03,0.67,3.98,8.75,1.5,0.208,1404.3,632.4,0.45,-0.1037,7.2,rotating_bending,0.0
90.74,0.149,0.75,0.6,6.07,0.22,1.2,0.275,943.1,501.0,0.531,-0.1021,6.69,axial,0.1
72.53,1.029,0.32,1.96,15.17,6.01,2.94,0.049,2225.6,1161.6,0.522,-0.0767,8.0,axial,0.0
78.04,1.118,0.19,1.23,10.64,7.83,0.77,0.182,2057.4,1123.0,0.546,-0.0812,8.0,torsion,-1.0
73.54,0.871,0.39,1.27,15.62,5.19,2.9,0.226,2039.7,1035.6,0.508,-0.0916,8.0,torsion,0.1
86.84,0.418,1.32,1.8,6.3,1.0,2.17,0.156,1317.2,658.3,0.5,-0.0683,8.0,axial,0.0
74.42,0.629,0.12,0.92,10.82,10.18,2.67,0.242,1758.1,975.6,0.555,-0.096,7.23,rotating_bending,-1.0
87.06,0.882,0.91,1.4,0.53,7.42,1.53,0.273,1679.6,739.1,0.44,-0.058,8.0,torsion,0.1
77.86,0.587,0.17,0.36,12.91,6.46,1.53,0.122,1554.6,859.9,0.553,-0.1049,6.58,axial,-1.0
74.88,0.379,0.45,1.4,11.72,9.89,1.25,0.037,1485.6,681.1,0.458,-0.0839,8.0,torsion,0.1
68.01,0.942,0.73,1.06,17.19,11.04,0.93,0.105,2188.9,1269.1,0.58,-0.0606,8.0,axial,-1.0
79.05,0.774,0.46,1.66,11.38,6.04,0.18,0.458,1719.1,903.0,0.525,-0.0744,8.0,rotating_bending,-1.0
93.19,0.876,0.91,1.91,0.97,1.27,0.52,0.345,1574.5,758.8,0.482,-0.0615,8.0,torsion,0.0
74.7,0.635,1.49,0.75,15.0,5.12,1.95,0.364,1802.9,966.9,0.536,-0.0813,8.0,torsion,0.1
72.4,1.107,0.72,1.23,14.33,7.0,2.88,0.33,2320.2,1277.6,0.551,-0.1136,6.24,axial,-1.0
91.3,0.394,1.15,0.65,3.69,2.27,0.38,0.156,1118.4,557.3,0.498,-0.0672,8.0,axial,0.0
83.59,1.071,0.29,0.87,10.56,1.23,2.19,0.194,1967.5,1091.1,0.555,-0.0854,8.0,axial,0.1
73.95,1.132,1.33,1.18,13.94,6.75,1.66,0.057,2288.8,1148.5,0.502,-0.1137,6.45,torsion,0.1
79.88,0.278,0.3,2.0,11.2,5.17,0.86,0.302,1219.0,564.9,0.463,-0.1093,6.93,axial,0.0
79.74,0.624,0.94,0.41,12.98,2.76,2.06,0.491,1697.1,1003.9,0.592,-0.0858,7.9,axial,-1.0
72.76,0.669,0.2,1.89,13.79,7.9,2.47,0.324,1840.0,1100.4,0.598,-0.0722,8.0,axial,-1.0
74.87,0.765,0.86,1.57,13.1,7.56,1.08,0.203,1869.1,1051.1,0.562,-0.1052,6.48,rotating_bending,-1.0
78.18,0.394,0.68,0.67,17.39,1.57,1.12,0.013,1358.9,686.6,0.505,-0.0682,8.0,axial,0.1
84.79,0.142,0.76,0.32,1.53,9.69,2.31,0.458,1046.9,460.0,0.439,-0.068,8.0,axial,0.1
79.23,0.155,1.3,1.37,13.45,2.51,1.61,0.369,1275.7,699.6,0.548,-0.0867,8.0,rotating_bending,0.1
75.81,0.127,1.5,0.34,15.03,4.38,2.52,0.277,1337.2,794.0,0.594,-0.0874,7.81,torsion,0.0
73.56,1.166,0.88,0.87,9.34,11.75,2.09,0.336,2267.3,1107.7,0.489,-0.0704,8.0,torsion,-1.0
91.91,0.415,0.78,0.8,4.66,0.31,0.86,0.277,1130.3,561.2,0.497,-0.0908,7.79,axial,-1.0
79.57,0.268,1.25,0.5,11.81,4.09,2.24,0.275,1363.8,714.5,0.524,-0.1048,6.85,rotating_bending,-1.0
77.45,1.171,1.26,0.4,6.77,11.11,1.51,0.331,2132.8,1031.5,0.484,-0.0719,8.0,rotating_bending,0.0
76.91,0.337,0.6,0.6,12.51,7.39,1.45,0.195,1380.4,788.7,0.571,-0.1133,5.94,rotating_bending,0.1
79.22,0.719,0.85,1.31,6.59,9.69,1.57,0.058,1703.2,925.0,0.543,-0.0965,7.0,torsion,0.1
86.9,0.929,0.45,0.36,1.83,8.74,0.6,0.186,1628.4,762.1,0.468,-0.0715,8.0,axial,-1.0
75.08,0.8,1.19,1.6,17.51,3.43,0.21,0.173,1908.4,1092.3,0.572,-0.082,8.0,rotating_bending,0.0
81.98,1.14,0.2,1.08,10.97,3.07,1.22,0.339,2088.5,1016.2,0.487,-0.0789,8.0,axial,0.1
80.1,0.154,0.8,0.75,13.04,2.27,2.68,0.215,1186.4,624.9,0.527,-0.0893,8.0,axial,0.1
84.89,0.339,0.55,0.53,5.33,6.87,1.33,0.173,1131.8,584.7,0.517,-0.0614,8.0,torsion,0.0
74.86,0.504,1.21,0.77,11.63,10.48,0.12,0.415,1670.4,861.0,0.515,-0.0625,8.0,axial,0.0
82.87,0.804,0.43,1.77,5.57,8.33,0.05,0.186,1686.4,782.3,0.464,-0.0824,8.0,axial,0.1
84.33,0.973,0.68,0.78,5.11,5.79,2.16,0.179,1799.3,854.5,0.475,-0.1135,6.43,torsion,0.1
71.45,0.398,0.74,1.69,16.74,6.54,1.98,0.452,1686.5,849.9,0.504,-0.1011,7.47,axial,0.0
89.0,0.997,1.3,1.01,1.61,5.25,0.69,0.146,1756.7,837.4,0.477,-0.1096,6.41,axial,-1.0
95.38,0.682,1.3,1.11,0.07,0.13,1.25,0.078,1369.8,657.8,0.48,-0.0725,8.0,rotating_bending,0.0
72.09,1.072,0.72,0.54,13.76,9.48,1.92,0.427,2262.6,1201.1,0.531,-0.0701,8.0,torsion,-1.0
82.04,0.884,0.26,1.18,10.57,2.09,2.89,0.088,1828.3,892.0,0.488,-0.0601,8.0,rotating_bending,-1.0
80.87,0.373,0.32,0.58,5.13,9.51,2.72,0.488,1354.1,662.3,0.489,-0.1082,6.74,axial,0.0
91.6,0.744,1.23,0.57,0.27,3.75,1.76,0.069,1458.7,672.4,0.461,-0.0819,8.0,torsion,-1.0
72.72,0.51,1.19,1.9,15.51,6.77,1.23,0.166,1676.6,847.5,0.505,-0.0551,8.0,rotating_bending,0.1
80.57,0.22,0.24,1.29,11.3,4.38,1.61,0.394,1219.3,684.3,0.561,-0.0575,8.0,rotating_bending,-1.0
86.74,0.414,1.18,0.39,0.23,9.55,1.43,0.065,1236.9,573.4,0.464,-0.0838,8.0,torsion,0.0
88.42,1.161,0.4,1.68,3.55,2.56,2.03,0.203,1955.8,1047.7,0.536,-0.1097,6.13,rotating_bending,0.0
81.25,1.09,0.32,0.92,11.14,1.91,2.9,0.457,2064.9,1095.4,0.53,-0.0791,8.0,axial,0.0
83.32,0.547,0.64,1.47,10.84,1.29,1.52,0.368,1447.9,836.5,0.578,-0.0773,8.0,torsion,0.0
87.76,0.31,1.32,1.68,4.21,2.41,2.15,0.157,1164.2,542.5,0.466,-0.0893,8.0,torsion,-1.0
85.63,0.437,0.56,0.78,8.61,2.17,1.46,0.352,1283.9,586.1,0.457,-0.1144,6.63,axial,0.1
76.83,0.666,1.3,0.31,16.86,1.28,2.53,0.241,1814.5,1000.2,0.551,-0.0649,8.0,axial,0.0
76.08,0.606,0.26,0.5,14.43,6.35,1.44,0.34,1716.2,992.4,0.578,-0.0773,8.0,torsion,0.1
76.01,0.93,0.6,0.77,14.42,4.53,2.71,0.035,1974.2,1126.7,0.571,-0.0747,8.0,axial,0.1
69.29,0.984,1.31,0.59,15.31,10.53,1.65,0.328,2299.9,1211.9,0.527,-0.0981,7.41,axial,0.0
91.07,0.802,0.82,0.57,0.96,5.35,0.15,0.285,1520.4,672.2,0.442,-0.0794,8.0,axial,-1.0
78.69,0.055,0.2,0.79,15.88,1.76,2.13,0.487,1085.8,637.6,0.587,-0.1004,6.84,torsion,0.1
84.34,0.588,1.34,1.39,7.45,3.51,1.13,0.254,1573.6,856.2,0.544,-0.064,8.0,torsion,0.1
75.61,0.179,0.21,1.28,11.57,10.2,0.88,0.084,1176.8,586.1,0.498,-0.0938,7.77,rotating_bending,0.1
70.72,0.273,0.85,1.89,15.03,10.11,0.91,0.215,1446.6,687.6,0.475,-0.0582,8.0,torsion,-1.0
76.23,0.326,0.22,1.88,10.44,8.0,2.73,0.173,1398.1,754.5,0.54,-0.1127,6.21,torsion,0.1
83.62,1.006,1.17,0.9,6.78,6.4,0.0,0.121,1851.2,955.4,0.516,-0.0982,6.99,axial,0.1
89.14,0.63,1.31,0.71,1.41,4.28,2.24,0.275,1432.1,740.0,0.517,-0.0574,8.0,rotating_bending,-1.0
74.99,0.744,0.79,0.37,17.72,4.6,0.46,0.333,1855.4,1023.8,0.552,-0.0883,8.0,axial,0.0
83.32,1.196,0.32,1.77,4.79,7.09,1.52,0.009,1988.1,1057.9,0.532,-0.1103,6.09,torsion,-1.0
77.58,0.965,0.29,1.06,14.93,3.63,1.4,0.136,1998.2,1054.2,0.528,-0.0816,8.0,axial,0.0
81.53,0.579,0.12,0.78,7.86,7.61,1.35,0.169,1456.1,711.8,0.489,-0.1005,7.22,axial,0.1
76.28,0.65,0.12,0.33,17.51,2.66,2.42,0.029,1685.3,879.0,0.522,-0.0906,8.0,rotating_bending,0.0
82.51,0.795,0.13,1.41,11.13,3.72,0.26,0.045,1636.2,901.2,0.551,-0.0736,8.0,rotating_bending,0.1
90.59,0.46,0.93,1.72,0.79,2.84,2.67,0.005,1189.1,513.4,0.432,-0.1133,6.66,axial,0.0
74.47,1.064,0.68,1.52,16.53,4.9,0.57,0.259,2184.4,1275.5,0.584,-0.0667,8.0,rotating_bending,0.1
84.95,0.846,0.9,1.84,2.2,6.41,2.64,0.205,1726.7,801.6,0.464,-0.0955,7.72,torsion,0.0
86.03,0.375,0.75,1.44,2.92,5.84,2.22,0.433,1258.8,637.8,0.507,-0.0749,8.0,rotating_bending,0.0
78.45,1.138,0.29,1.62,4.77,11.2,2.16,0.377,2118.4,1085.6,0.512,-0.0688,8.0,rotating_bending,0.1
81.77,0.373,1.25,1.29,9.15,3.82,2.19,0.144,1337.5,723.9,0.541,-0.1108,6.22,axial,-1.0
75.78,0.854,1.1,0.39,15.48,5.5,0.79,0.121,1960.3,1009.8,0.515,-0.07,8.0,torsion,0.0
82.69,1.156,1.01,1.08,7.16,3.9,2.94,0.067,2111.4,1033.0,0.489,-0.0859,8.0,rotating_bending,0.1
82.24,0.592,0.35,0.55,4.59,10.97,0.34,0.379,1466.5,767.9,0.524,-0.0992,6.84,rotating_bending,0.1
74.74,0.585,0.47,1.55,11.45,10.5,0.25,0.458,1675.7,821.8,0.49,-0.0856,8.0,torsion,0.1
69.13,0.924,0.69,1.9,16.25,10.47,0.21,0.427,2138.6,1043.6,0.488,-0.1089,6.9,torsion,0.1
74.27,0.681,1.46,1.05,9.73,11.62,0.77,0.429,1840.3,948.9,0.516,-0.0808,8.0,axial,0.1
83.26,0.061,0.72,0.38,9.79,4.06,1.42,0.307,992.8,502.6,0.506,-0.0658,8.0,torsion,0.0
81.76,0.85,1.26,0.4,8.64,6.42,0.51,0.161,1805.9,885.8,0.49,-0.065,8.0,axial,0.0
65.2,0.773,0.65,0.73,17.68,11.8,2.77,0.393,2160.9,1192.7,0.552,-0.0954,7.6,torsion,0.0
79.42,0.142,0.17,1.06,8.02,10.75,0.38,0.062,1026.2,464.3,0.452,-0.1132,6.59,axial,0.0
70.91,0.809,0.7,1.6,17.87,7.91,0.15,0.052,1964.1,1122.3,0.571,-0.0636,8.0,rotating_bending,0.1
83.95,0.688,0.58,1.94,9.85,0.77,1.93,0.294,1647.7,929.1,0.564,-0.0758,8.0,torsion,-1.0
84.44,1.161,1.22,1.37,5.27,4.48,2.01,0.036,2090.6,1025.3,0.49,-0.0909,7.92,rotating_bending,0.0
86.17,0.558,1.18,0.75,0.1,8.02,2.92,0.303,1421.5,629.3,0.443,-0.0958,7.88,rotating_bending,0.0
81.69,0.317,0.95,0.98,3.74,9.76,2.23,0.331,1281.9,644.4,0.503,-0.0818,8.0,torsion,-1.0
71.45,0.115,0.21,1.99,14.1,11.06,0.59,0.48,1269.8,619.0,0.487,-0.0845,8.0,axial,0.0
86.27,0.452,0.69,0.52,2.21,7.43,2.03,0.389,1354.7,588.4,0.434,-0.1053,7.25,rotating_bending,0.0
76.0,0.137,1.05,0.6,12.9,8.47,0.7,0.135,1233.1,660.0,0.535,-0.0916,7.67,axial,-1.0
84.16,0.891,0.32,1.75,9.26,1.27,2.08,0.26,1765.8,870.8,0.493,-0.0992,7.41,torsion,0.0
85.01,0.513,0.92,0.45,7.76,2.1,2.96,0.281,1390.0,749.9,0.539,-0.0955,7.31,rotating_bending,0.0
82.61,1.172,0.5,1.02,11.7,0.3,2.43,0.268,2108.2,1034.6,0.491,-0.0613,8.0,axial,0.1
81.64,0.337,0.19,1.47,10.3,4.85,1.09,0.108,1234.2,651.4,0.528,-0.0568,8.0,torsion,-1.0
81.31,0.737,0.69,1.06,4.57,9.9,1.46,0.272,1638.6,728.7,0.445,-0.0722,8.0,torsion,-1.0
79.63,0.266,1.01,0.55,9.98,6.33,2.2,0.028,1262.2,706.5,0.56,-0.0728,8.0,rotating_bending,0.1
73.34,0.261,0.7,1.69,15.17,6.25,2.58,0.003,1424.6,815.0,0.572,-0.0577,8.0,torsion,0.1
87.47,0.691,0.46,1.41,2.09,6.44,1.31,0.134,1500.9,728.2,0.485,-0.0627,8.0,torsion,0.1
85.96,0.749,0.67,0.68,4.63,5.75,1.1,0.457,1541.9,737.5,0.478,-0.0648,8.0,torsion,0.1
84.11,0.756,0.57,1.69,0.69,10.45,1.54,0.199,1564.3,737.0,0.471,-0.075,8.0,axial,-1.0
87.89,1.052,0.73,0.88,2.49,5.27,1.49,0.202,1803.0,952.4,0.528,-0.079,8.0,torsion,0.1
80.57,0.507,0.57,1.27,15.5,0.94,0.22,0.425,1536.2,764.0,0.497,-0.0749,8.0,axial,-1.0
74.98,0.194,0.28,1.25,17.03,4.98,0.98,0.303,1290.4,749.7,0.581,-0.0979,7.0,rotating_bending,0.0
70.43,0.952,0.55,1.53,11.84,11.51,2.79,0.395,2154.3,1215.0,0.564,-0.0986,7.04,rotating_bending,-1.0
79.58,0.542,0.48,0.95,15.05,1.78,1.37,0.246,1549.2,791.4,0.511,-0.0625,8.0,torsion,0.0
