Fe,C,Si,Mn,Cr,Ni,Mo,V,W,Cu,CE_IIW,Pcm,Ac1_C,Ac3_C,Ms_C,treatment_type,cooling_medium,hardness_HRC,hardenability_mm,weldability
70.56,0.593,1.83,0.78,12.58,7.48,2.42,0.527,2.82,0.41,4.354,1.681,876.0,853.0,-38.0,normalizing,air,32.3,190.0,poor
80.97,0.186,0.73,1.45,4.4,6.73,2.96,0.281,1.81,0.48,2.438,0.865,705.0,875.0,221.0,quenching,air,46.9,161.0,poor
78.08,0.582,0.81,1.14,11.69,2.5,1.05,0.189,3.51,0.45,3.556,1.404,916.0,806.0,64.0,tempering,air,47.4,128.1,poor
87.97,0.185,1.06,1.46,2.44,3.37,1.71,0.156,1.35,0.3,1.534,0.616,735.0,889.0,314.0,quenching,water,46.4,100.2,poor
74.94,1.009,1.61,1.28,14.91,0.31,0.59,0.809,4.13,0.41,4.532,2.018,1033.0,876.0,-117.0,normalizing,air,45.5,131.4,poor
83.05,0.861,0.13,0.62,5.48,3.62,0.39,0.82,4.65,0.38,2.569,1.358,785.0,770.0,23.0,normalizing,air,40.6,82.1,poor
76.02,1.177,0.93,1.73,14.52,0.18,0.32,0.348,4.35,0.42,4.543,2.1,1006.0,775.0,-193.0,annealing,furnace,36.7,128.7,poor
70.48,0.882,1.67,1.8,14.31,7.44,0.93,0.268,1.99,0.23,4.796,1.968,885.0,738.0,-201.0,quenching,water,67.3,170.0,poor
89.58,0.296,1.38,1.41,1.66,0.72,1.71,0.403,2.73,0.12,1.342,0.668,785.0,946.0,325.0,normalizing,air,24.0,87.5,poor
81.23,1.027,0.73,0.61,6.5,2.55,2.6,0.978,3.44,0.33,3.336,1.737,831.0,882.0,-57.0,annealing,furnace,31.6,152.3,poor
73.19,0.435,1.31,1.93,9.73,7.65,0.91,0.846,3.59,0.41,3.592,1.355,802.0,835.0,36.0,quenching,water,61.9,139.7,poor
79.15,0.628,1.4,1.88,6.26,7.61,0.15,0.014,2.47,0.42,2.763,1.242,741.0,702.0,4.0,annealing,furnace,22.4,102.6,poor
80.92,0.785,1.7,1.97,2.77,7.19,2.0,0.947,1.59,0.12,2.745,1.433,691.0,858.0,-29.0,tempering,air,45.5,143.1,poor
79.88,0.313,1.33,1.92,13.47,0.68,0.16,0.961,1.0,0.28,3.616,1.259,968.0,951.0,172.0,normalizing,air,20.6,105.3,poor
81.36,1.153,1.62,1.73,4.47,6.85,1.77,0.057,0.77,0.22,3.172,1.766,720.0,722.0,-190.0,quenching,oil,66.3,148.3,poor
81.46,1.045,0.78,0.37,10.43,0.31,1.66,0.139,3.35,0.45,3.604,1.763,938.0,799.0,-58.0,quenching,oil,68.0,132.8,poor
76.37,0.142,1.56,1.93,6.57,6.35,2.39,0.786,3.79,0.11,2.844,0.968,780.0,964.0,210.0,tempering,air,18.5,157.1,poor
90.92,1.19,1.51,0.4,0.79,3.93,0.02,0.676,0.08,0.49,1.848,1.458,714.0,767.0,-56.0,normalizing,air,51.4,53.0,poor
82.97,0.26,1.35,1.66,2.47,6.35,0.28,0.591,3.99,0.07,1.633,0.699,709.0,841.0,234.0,quenching,oil,54.3,72.9,poor
87.95,0.567,1.25,1.02,3.76,2.03,2.59,0.156,0.62,0.05,2.179,1.073,786.0,880.0,167.0,annealing,furnace,23.1,131.3,poor
83.4,1.047,0.93,1.24,3.1,6.33,2.67,0.486,0.8,0.0,2.926,1.627,691.0,782.0,-111.0,annealing,furnace,28.8,159.1,poor
85.34,0.797,1.81,1.37,0.91,4.56,1.57,0.452,2.84,0.34,1.939,1.215,722.0,837.0,57.0,tempering,air,59.3,104.6,poor
77.96,0.37,1.86,1.41,7.82,4.07,0.5,0.963,4.57,0.48,2.764,1.115,859.0,924.0,169.0,tempering,air,21.6,96.8,poor
80.63,0.545,0.35,1.33,5.36,5.93,0.95,0.263,4.34,0.31,2.497,1.095,741.0,743.0,91.0,normalizing,air,31.8,108.2,poor
85.26,0.61,1.47,0.52,5.46,4.01,1.34,0.583,0.51,0.25,2.456,1.184,792.0,859.0,118.0,normalizing,air,31.5,105.9,poor
78.28,0.146,1.78,0.49,8.58,5.71,1.01,0.845,2.97,0.2,2.708,0.916,841.0,945.0,250.0,quenching,water,41.7,108.8,poor
73.07,1.145,0.62,1.79,14.62,6.58,0.06,0.869,1.07,0.18,5.004,2.196,869.0,713.0,-294.0,tempering,air,59.3,147.0,poor
79.83,0.304,0.56,0.88,8.5,6.25,0.87,0.168,2.25,0.39,2.801,0.99,786.0,773.0,164.0,tempering,air,38.3,113.4,poor
78.04,0.239,1.07,0.62,14.04,2.46,0.28,0.836,2.01,0.41,3.564,1.172,960.0,917.0,203.0,tempering,air,19.0,104.4,poor
77.76,0.296,0.56,1.69,8.2,7.38,2.94,0.343,0.48,0.35,3.389,1.18,742.0,841.0,110.0,annealing,furnace,15.6,186.5,poor
80.25,0.929,1.83,1.41,7.87,4.48,1.92,0.999,0.31,0.01,3.621,1.757,824.0,892.0,-86.0,quenching,air,67.0,152.6,poor
74.2,0.585,1.26,1.58,11.13,5.18,1.42,0.576,3.65,0.43,3.846,1.522,871.0,837.0,7.0,normalizing,air,32.2,151.3,poor
84.56,0.355,1.63,0.83,4.83,3.56,2.08,0.842,1.13,0.18,2.294,0.984,794.0,961.0,226.0,annealing,furnace,18.0,121.2,poor
77.9,0.537,1.53,1.55,11.58,3.74,1.11,0.831,0.87,0.36,3.772,1.482,893.0,894.0,50.0,quenching,water,66.2,137.3,poor
83.47,0.664,0.51,1.78,3.67,2.51,2.67,0.206,4.42,0.1,2.442,1.198,771.0,835.0,95.0,quenching,oil,64.4,144.4,poor
84.42,0.449,0.57,1.11,5.54,1.61,1.02,0.713,4.16,0.41,2.223,0.987,824.0,881.0,212.0,tempering,air,33.7,89.7,poor
79.92,0.955,0.88,1.3,6.33,4.22,0.5,0.599,4.89,0.38,2.966,1.549,806.0,765.0,-60.0,tempering,air,65.0,100.8,poor
89.86,0.264,1.22,0.51,1.13,1.57,2.36,0.927,1.67,0.49,1.37,0.687,760.0,1007.0,353.0,annealing,furnace,10.0,98.2,poor
89.42,0.491,1.13,0.97,6.49,0.02,0.2,0.151,0.92,0.23,2.036,0.942,865.0,840.0,221.0,tempering,air,33.2,63.0,poor
74.21,0.398,0.86,1.89,11.24,6.3,1.55,0.213,2.96,0.39,3.759,1.332,834.0,795.0,54.0,quenching,water,57.6,159.7,poor
85.03,0.76,1.35,1.91,2.49,5.23,0.55,0.314,1.95,0.42,2.125,1.201,712.0,764.0,33.0,normalizing,air,38.3,89.1,poor
84.61,0.31,0.26,0.88,10.54,1.85,0.15,0.057,1.28,0.07,2.733,0.939,880.0,791.0,220.0,normalizing,air,24.6,84.5,poor
79.82,0.631,1.71,0.96,6.78,2.66,2.85,0.465,3.78,0.35,3.011,1.373,860.0,923.0,93.0,quenching,oil,66.8,157.3,poor
75.62,1.105,1.13,1.75,12.48,0.47,1.86,0.789,4.53,0.25,4.472,2.078,973.0,881.0,-155.0,tempering,air,53.6,164.7,poor
82.68,0.235,1.53,0.57,4.59,2.67,2.97,0.59,3.89,0.28,2.157,0.859,823.0,994.0,297.0,normalizing,air,19.5,138.2,poor
81.61,1.052,1.91,0.92,6.2,3.16,2.51,0.453,1.88,0.31,3.269,1.752,836.0,865.0,-84.0,annealing,furnace,33.3,154.1,poor
78.75,0.569,1.29,0.97,12.09,1.6,1.78,0.578,2.02,0.35,3.751,1.486,944.0,906.0,81.0,tempering,air,34.5,146.4,poor
80.04,0.734,1.12,1.22,12.98,0.72,0.47,0.813,1.52,0.39,3.864,1.625,963.0,875.0,18.0,tempering,air,44.2,113.8,poor
81.52,0.177,0.76,0.46,6.94,6.88,1.43,0.481,1.27,0.08,2.487,0.835,753.0,849.0,234.0,tempering,air,31.8,118.2,poor
84.7,0.381,0.59,0.75,4.23,6.81,0.12,0.989,1.41,0.01,2.03,0.871,702.0,814.0,182.0,quenching,water,56.3,72.1,poor
70.73,0.371,0.53,1.72,13.71,5.2,2.81,0.95,3.8,0.17,4.511,1.538,892.0,918.0,50.0,normalizing,air,27.5,203.2,poor
82.46,0.837,0.35,1.52,8.7,3.89,0.38,0.278,1.48,0.12,3.229,1.484,812.0,722.0,-38.0,tempering,air,24.0,107.4,poor
83.6,1.018,0.58,0.62,2.02,4.41,2.64,0.897,3.93,0.29,2.546,1.523,722.0,841.0,-33.0,tempering,air,66.9,138.4,poor
82.48,0.282,1.83,1.6,6.76,3.83,2.06,0.474,0.32,0.37,2.687,1.028,815.0,940.0,206.0,normalizing,air,26.8,137.5,poor
73.91,0.253,1.34,1.92,13.66,6.09,0.8,0.103,1.62,0.31,3.911,1.256,884.0,811.0,95.0,tempering,air,26.2,145.9,poor
81.03,0.734,0.92,0.78,7.95,2.93,2.56,0.029,2.65,0.42,3.196,1.444,847.0,816.0,38.0,annealing,furnace,27.3,155.8,poor
88.1,0.641,0.36,0.78,2.74,4.56,1.97,0.336,0.2,0.33,2.104,1.086,700.0,791.0,116.0,quenching,air,66.5,116.5,poor
80.87,1.162,1.79,1.71,5.51,5.96,0.14,0.09,2.47,0.29,3.013,1.715,769.0,694.0,-178.0,quenching,oil,66.6,100.9,poor
71.84,0.838,1.98,1.61,14.93,3.98,1.3,0.834,2.31,0.38,4.81,1.987,967.0,880.0,-125.0,normalizing,air,37.0,167.4,poor
74.27,0.441,1.76,1.64,14.39,3.68,0.94,0.971,1.91,0.0,4.219,1.522,954.0,928.0,56.0,annealing,furnace,18.1,145.0,poor
74.84,0.172,1.58,1.42,7.0,6.8,2.55,0.701,4.71,0.23,2.927,1.01,791.0,946.0,199.0,annealing,furnace,15.3,161.3,poor
72.6,0.931,0.85,1.83,14.13,1.57,2.73,0.713,4.44,0.21,4.869,2.047,973.0,889.0,-130.0,normalizing,air,41.3,200.8,poor
90.21,0.332,1.92,0.92,0.85,4.17,0.62,0.426,0.51,0.05,1.145,0.64,720.0,879.0,282.0,quenching,water,55.1,60.3,poor
85.64,0.469,0.4,1.29,0.93,6.02,0.15,0.97,3.68,0.45,1.527,0.824,662.0,803.0,182.0,normalizing,air,25.3,60.6,poor
78.35,0.945,1.83,0.38,12.9,3.5,0.87,0.039,1.03,0.17,4.014,1.798,942.0,773.0,-97.0,normalizing,air,42.0,132.2,poor
84.28,0.591,1.22,0.43,3.11,3.18,2.43,0.187,4.41,0.17,2.03,1.05,785.0,856.0,164.0,annealing,furnace,23.3,122.2,poor
90.04,0.167,0.79,0.99,1.89,4.66,0.12,0.713,0.19,0.44,1.217,0.516,694.0,869.0,332.0,quenching,water,44.7,50.0,poor
73.72,0.602,0.4,0.53,10.82,6.19,2.22,0.404,4.95,0.17,3.802,1.482,843.0,788.0,11.0,normalizing,air,38.7,167.7,poor
72.12,0.575,1.7,1.27,9.49,7.91,2.31,0.286,3.86,0.46,3.763,1.508,814.0,815.0,-15.0,quenching,oil,63.3,177.6,poor
79.87,0.999,0.55,1.04,10.35,1.95,0.56,0.463,3.92,0.3,3.597,1.718,899.0,768.0,-79.0,tempering,air,54.4,111.8,poor
87.63,0.878,1.1,0.48,2.06,3.03,1.02,0.852,2.86,0.09,1.952,1.25,756.0,843.0,67.0,annealing,furnace,25.5,80.3,poor
73.29,1.146,0.98,1.68,8.63,6.59,2.2,0.28,4.96,0.25,4.105,1.991,804.0,735.0,-234.0,tempering,air,67.4,180.3,poor
78.19,0.159,0.85,0.9,9.71,5.74,0.27,0.038,3.88,0.26,2.712,0.848,834.0,792.0,223.0,normalizing,air,14.5,96.8,poor
83.7,0.501,0.9,1.73,7.24,2.51,0.55,0.283,2.31,0.27,2.589,1.1,829.0,815.0,138.0,tempering,air,51.9,95.0,poor
89.96,0.536,1.7,0.48,0.75,0.7,2.03,0.594,3.16,0.08,1.345,0.865,792.0,953.0,261.0,tempering,air,40.0,88.1,poor
78.11,0.56,1.26,1.1,11.22,4.77,0.68,0.87,1.08,0.36,3.638,1.447,868.0,854.0,44.0,normalizing,air,37.3,122.7,poor
83.81,0.946,0.56,0.62,3.04,7.48,0.49,0.346,2.43,0.28,2.341,1.353,677.0,675.0,-53.0,quenching,oil,64.4,90.0,poor
82.83,0.224,0.31,0.84,6.2,2.99,1.18,0.851,4.18,0.4,2.235,0.82,808.0,908.0,282.0,tempering,air,34.5,96.1,poor
77.65,0.167,1.82,0.37,11.25,5.74,0.22,0.188,2.27,0.32,2.964,0.953,883.0,847.0,218.0,quenching,oil,44.2,97.8,poor
76.73,0.68,1.88,0.62,9.34,6.76,0.7,0.789,2.0,0.5,3.433,1.504,831.0,828.0,-5.0,annealing,furnace,22.9,119.6,poor
77.07,0.56,0.83,1.91,5.37,6.68,2.3,0.147,4.81,0.32,2.91,1.248,739.0,781.0,43.0,annealing,furnace,21.1,157.9,poor
77.04,0.552,0.31,0.5,11.93,3.05,0.65,0.708,4.8,0.47,3.527,1.372,911.0,821.0,87.0,tempering,air,28.1,112.3,poor
86.73,0.346,1.59,1.55,2.83,0.3,0.89,0.795,4.69,0.29,1.544,0.776,829.0,968.0,299.0,quenching,air,55.2,69.3,poor
68.24,0.652,2.0,1.9,14.9,5.6,1.28,0.893,4.48,0.07,4.76,1.83,951.0,883.0,-83.0,tempering,air,57.5,172.2,poor
82.18,0.325,1.81,1.12,4.89,7.63,0.95,0.321,0.67,0.11,2.26,0.914,726.0,822.0,166.0,normalizing,air,23.6,106.3,poor
79.37,0.75,1.36,1.67,8.85,6.05,0.51,0.121,0.9,0.42,3.356,1.489,802.0,732.0,-47.0,normalizing,air,38.0,120.4,poor
77.53,0.966,0.61,0.35,10.74,6.57,2.04,0.382,0.64,0.17,4.106,1.833,815.0,742.0,-142.0,quenching,water,66.8,169.0,poor
79.56,0.895,0.4,1.69,9.18,3.86,1.08,0.507,2.7,0.12,3.596,1.646,828.0,764.0,-79.0,normalizing,air,42.8,133.6,poor
85.28,0.217,1.21,1.13,2.28,7.09,0.4,0.593,1.59,0.21,1.546,0.642,679.0,836.0,257.0,normalizing,air,21.2,72.4,poor
72.72,0.334,1.45,1.58,11.4,6.61,2.97,0.096,2.36,0.49,3.962,1.373,848.0,860.0,73.0,quenching,oil,53.1,199.9,poor
85.93,0.84,0.6,1.08,0.31,5.76,2.78,0.112,2.27,0.31,2.065,1.238,655.0,762.0,24.0,normalizing,air,41.4,140.5,poor
84.54,0.474,0.66,0.42,8.14,1.15,1.7,0.625,2.21,0.08,2.718,1.123,874.0,901.0,194.0,tempering,air,22.9,115.0,poor
85.54,0.388,1.04,1.64,2.79,2.29,2.18,0.008,3.79,0.34,1.831,0.845,772.0,865.0,234.0,normalizing,air,23.4,117.7,poor
73.31,0.661,1.76,1.91,13.83,2.03,1.42,0.535,4.26,0.28,4.291,1.703,984.0,893.0,-13.0,tempering,air,24.2,157.2,poor
79.58,0.876,0.27,0.57,7.32,3.2,2.45,0.939,4.71,0.07,3.33,1.594,828.0,858.0,-13.0,normalizing,air,42.6,151.0,poor
79.26,1.083,0.78,1.14,9.74,3.53,1.08,0.112,3.18,0.1,3.701,1.8,863.0,726.0,-142.0,annealing,furnace,30.6,133.4,poor
88.5,0.174,1.92,1.15,2.01,1.59,0.14,0.71,3.52,0.3,1.062,0.517,800.0,965.0,377.0,quenching,oil,47.3,40.4,poor
76.49,0.463,1.18,1.73,11.64,2.69,2.61,0.389,2.5,0.31,3.879,1.443,910.0,906.0,83.0,quenching,water,56.5,178.8,poor
81.21,1.061,0.77,0.71,7.15,5.5,1.69,0.138,1.74,0.03,3.342,1.699,781.0,719.0,-128.0,quenching,oil,67.5,141.6,poor
80.45,1.071,0.19,1.19,8.49,3.51,1.51,0.71,2.42,0.46,3.676,1.815,819.0,776.0,-127.0,tempering,air,59.4,140.1,poor
76.37,1.01,1.03,0.48,13.57,4.34,0.93,0.451,1.55,0.28,4.386,1.939,918.0,762.0,-151.0,quenching,air,67.0,143.0,poor
88.32,0.591,0.91,1.35,0.21,4.79,1.78,0.392,1.23,0.42,1.639,0.958,670.0,819.0,148.0,annealing,furnace,20.5,103.9,poor
84.58,0.857,0.46,0.87,6.22,5.11,0.2,0.341,1.37,0.0,2.693,1.359,759.0,707.0,-17.0,tempering,air,47.5,88.2,poor
76.27,0.155,1.86,1.3,10.68,3.49,1.42,0.543,3.98,0.31,3.154,1.039,914.0,961.0,232.0,quenching,water,46.9,131.1,poor
78.22,0.284,0.39,1.47,13.26,2.4,1.51,0.992,1.29,0.2,3.854,1.283,914.0,933.0,160.0,quenching,oil,54.3,146.6,poor
82.85,1.084,1.29,1.68,4.54,2.98,2.88,0.268,2.11,0.33,3.121,1.722,786.0,830.0,-100.0,tempering,air,60.2,164.5,poor
87.11,0.236,1.34,1.52,2.39,4.97,0.07,0.434,1.43,0.5,1.434,0.633,715.0,843.0,275.0,normalizing,air,19.5,58.8,poor
79.19,1.193,0.58,0.9,7.27,4.32,1.66,0.549,4.14,0.2,3.539,1.868,810.0,758.0,-170.0,annealing,furnace,38.2,141.3,poor
77.48,0.972,0.18,1.98,14.86,0.79,1.03,0.59,1.87,0.24,4.667,1.973,961.0,800.0,-134.0,annealing,furnace,33.0,152.7,poor
79.47,0.683,1.49,1.17,5.66,6.87,1.38,0.568,2.33,0.39,2.884,1.357,752.0,807.0,14.0,quenching,air,66.3,127.4,poor
76.59,1.103,1.74,1.03,9.9,4.06,0.53,0.376,4.27,0.4,3.733,1.868,892.0,769.0,-155.0,tempering,air,60.3,119.0,poor
86.0,0.463,1.75,0.41,3.04,4.88,2.3,0.697,0.23,0.23,2.078,1.009,744.0,921.0,190.0,annealing,furnace,20.3,121.9,poor
84.14,0.594,0.15,0.49,7.96,2.88,2.49,0.563,0.49,0.24,3.087,1.304,815.0,853.0,107.0,annealing,furnace,23.0,147.7,poor
93.28,0.27,0.82,1.8,0.23,1.66,0.76,0.263,0.49,0.42,0.96,0.525,711.0,867.0,332.0,normalizing,air,22.5,59.0,poor
80.32,0.204,1.32,0.67,7.2,6.88,2.47,0.146,0.44,0.33,2.761,0.953,767.0,866.0,205.0,annealing,furnace,13.4,153.5,poor
78.24,0.614,1.0,0.5,6.53,6.13,1.23,0.487,4.84,0.44,2.785,1.253,788.0,792.0,67.0,annealing,furnace,24.8,116.4,poor
84.51,0.573,0.59,1.52,2.59,6.14,2.36,0.441,0.97,0.31,2.334,1.117,674.0,810.0,93.0,quenching,air,67.2,139.9,poor
84.47,0.682,0.98,1.96,8.06,0.27,1.51,0.445,1.46,0.16,3.041,1.374,875.0,876.0,77.0,annealing,furnace,23.7,124.9,poor
76.24,0.371,0.13,1.19,11.28,6.13,0.64,0.995,2.84,0.17,3.574,1.252,823.0,823.0,96.0,annealing,furnace,20.1,124.6,poor
91.03,0.488,0.45,0.4,2.63,0.84,0.61,0.996,2.23,0.33,1.48,0.825,780.0,898.0,269.0,quenching,water,59.7,53.6,poor
91.9,1.182,1.64,1.53,0.01,0.85,2.01,0.41,0.1,0.37,2.006,1.521,745.0,856.0,-38.0,normalizing,air,48.9,107.8,poor
87.54,0.167,1.01,1.42,0.35,5.64,0.67,0.222,2.81,0.17,1.039,0.459,670.0,831.0,316.0,normalizing,air,14.1,67.0,poor
69.97,0.651,1.46,1.51,13.83,6.9,2.96,0.595,2.0,0.12,4.848,1.844,883.0,862.0,-94.0,normalizing,air,35.4,218.6,poor
77.63,0.753,0.48,0.76,10.49,7.27,0.41,0.473,1.48,0.26,3.655,1.54,797.0,707.0,-61.0,annealing,furnace,25.7,121.4,poor
75.0,0.956,0.48,0.72,9.55,6.97,0.95,0.525,4.45,0.39,3.773,1.737,805.0,712.0,-134.0,annealing,furnace,28.7,135.5,poor
79.77,1.18,0.96,1.22,4.67,5.38,2.3,0.041,4.23,0.26,3.16,1.766,757.0,727.0,-166.0,quenching,oil,67.9,154.5,poor
82.5,1.147,1.86,1.62,7.1,2.54,0.47,0.081,2.29,0.4,3.143,1.747,856.0,760.0,-130.0,quenching,air,68.0,103.8,poor
78.61,0.932,0.33,1.77,12.06,0.75,1.07,0.375,3.68,0.43,4.006,1.777,932.0,790.0,-76.0,annealing,furnace,31.8,136.7,poor
77.9,0.752,0.75,0.72,11.38,3.44,2.76,0.976,1.05,0.28,4.143,1.735,882.0,903.0,-20.0,normalizing,air,37.4,180.7,poor
73.13,1.11,1.8,0.96,14.38,4.51,1.3,0.55,2.11,0.15,4.827,2.162,949.0,806.0,-223.0,annealing,furnace,32.5,165.8,poor
87.25,0.11,0.97,0.8,3.04,3.56,2.56,0.655,0.8,0.25,1.748,0.642,743.0,981.0,349.0,normalizing,air,14.7,121.5,poor
84.1,0.992,1.57,0.57,4.94,6.11,0.48,0.423,0.69,0.12,2.671,1.502,751.0,744.0,-69.0,quenching,air,65.5,94.0,poor
84.68,1.115,0.31,1.85,5.4,0.05,0.34,0.885,4.91,0.45,2.782,1.623,838.0,812.0,-58.0,quenching,air,68.0,83.2,poor
78.82,1.158,0.87,0.49,5.11,7.99,1.88,0.34,3.12,0.21,3.253,1.77,718.0,704.0,-183.0,tempering,air,49.1,146.9,poor
83.89,0.386,0.84,1.18,6.54,0.75,1.37,0.72,4.1,0.22,2.374,0.987,863.0,928.0,237.0,normalizing,air,30.0,101.4,poor
79.2,0.701,1.07,0.62,11.28,1.29,1.38,0.756,3.49,0.22,3.587,1.531,943.0,891.0,54.0,tempering,air,27.1,128.1,poor
79.81,1.068,1.34,0.39,6.11,5.79,0.97,0.493,3.56,0.48,3.065,1.672,790.0,754.0,-108.0,tempering,air,64.1,113.0,poor
84.32,0.587,0.87,0.57,3.95,7.79,1.54,0.088,0.25,0.02,2.319,1.085,683.0,733.0,76.0,annealing,furnace,21.1,119.6,poor
80.3,0.948,0.66,0.42,11.88,1.16,0.64,0.706,2.82,0.46,3.772,1.741,941.0,818.0,-44.0,quenching,oil,67.5,111.4,poor
86.25,0.445,0.72,0.66,7.76,3.02,0.04,0.395,0.31,0.4,2.424,1.003,823.0,803.0,183.0,quenching,oil,57.6,72.7,poor
86.6,0.197,0.79,1.28,1.56,3.02,2.87,0.166,3.1,0.42,1.558,0.645,732.0,917.0,323.0,annealing,furnace,13.5,127.6,poor
82.15,0.297,1.72,0.98,3.31,5.34,1.66,0.172,4.14,0.23,1.861,0.797,759.0,865.0,236.0,annealing,furnace,14.2,108.6,poor
77.12,0.992,0.4,1.81,14.69,0.69,1.54,0.265,2.35,0.15,4.647,1.978,971.0,791.0,-137.0,quenching,water,67.9,165.3,poor
83.13,0.534,0.49,1.23,10.21,3.24,0.61,0.192,0.01,0.35,3.181,1.253,846.0,773.0,90.0,quenching,water,61.7,110.3,poor
74.5,0.425,0.4,1.36,12.97,4.67,0.03,0.786,4.82,0.02,3.723,1.315,895.0,807.0,78.0,normalizing,air,29.5,111.6,poor
78.55,0.221,1.07,0.62,13.0,3.21,0.05,0.628,2.23,0.43,3.302,1.079,931.0,880.0,212.0,normalizing,air,18.5,94.9,poor
83.72,0.811,1.5,1.91,3.79,2.93,1.16,0.097,4.04,0.04,2.336,1.284,791.0,796.0,32.0,tempering,air,55.0,105.8,poor
86.54,1.044,1.68,1.41,0.94,2.54,2.2,0.249,3.12,0.27,2.145,1.445,754.0,834.0,-18.0,quenching,water,68.0,120.9,poor
71.35,1.084,1.13,0.46,12.5,6.33,2.49,0.638,3.56,0.45,4.74,2.128,882.0,798.0,-216.0,tempering,air,67.0,193.9,poor
79.61,0.988,0.28,0.43,11.66,0.25,2.53,0.599,3.18,0.47,4.065,1.858,943.0,859.0,-57.0,annealing,furnace,30.1,164.2,poor
84.9,0.899,1.02,1.12,1.89,7.24,1.12,0.582,1.04,0.18,2.301,1.347,661.0,749.0,-35.0,normalizing,air,47.4,106.3,poor
76.24,0.967,1.22,0.56,10.89,4.75,0.07,0.762,4.16,0.39,3.746,1.759,887.0,774.0,-103.0,annealing,furnace,31.1,105.4,poor
78.24,0.462,1.27,0.66,12.51,0.18,1.7,0.319,4.41,0.25,3.506,1.323,994.0,913.0,156.0,annealing,furnace,22.7,135.1,poor
74.78,0.516,1.56,0.56,12.78,4.96,2.42,0.418,1.73,0.27,4.084,1.535,909.0,878.0,43.0,quenching,water,62.5,177.4,poor
79.94,1.002,1.47,0.47,9.32,4.65,0.5,0.774,1.56,0.31,3.53,1.744,853.0,798.0,-98.0,annealing,furnace,28.3,110.0,poor
74.44,0.996,1.54,0.53,14.42,2.29,2.12,0.3,3.09,0.29,4.622,2.018,991.0,839.0,-129.0,quenching,air,66.5,174.9,poor
84.55,0.772,1.13,1.73,3.2,1.21,2.56,0.445,3.91,0.48,2.416,1.316,800.0,891.0,80.0,quenching,oil,65.3,135.6,poor
81.25,0.431,1.61,1.88,3.68,5.51,2.34,0.027,2.96,0.32,2.342,1.029,742.0,842.0,140.0,normalizing,air,31.6,143.1,poor
82.04,0.846,1.29,1.62,3.49,5.07,1.91,0.654,2.97,0.11,2.672,1.428,740.0,832.0,-14.0,normalizing,air,37.3,133.2,poor
77.95,0.997,1.54,1.5,10.62,2.38,2.81,0.809,1.06,0.33,4.276,1.979,902.0,913.0,-120.0,quenching,oil,63.7,186.9,poor
84.52,1.073,0.37,1.83,1.92,5.94,2.97,0.094,1.06,0.23,2.785,1.59,657.0,729.0,-121.0,annealing,furnace,32.4,167.1,poor
79.55,0.882,0.92,1.71,10.51,0.99,1.35,0.26,3.57,0.27,3.675,1.67,919.0,815.0,-41.0,annealing,furnace,27.0,136.7,poor
74.92,0.173,1.38,1.59,10.01,7.64,2.8,0.27,1.22,0.01,3.563,1.14,798.0,887.0,140.0,normalizing,air,16.9,188.8,poor
80.65,1.035,1.39,1.57,11.65,1.35,0.9,0.104,0.95,0.39,3.945,1.855,931.0,784.0,-118.0,normalizing,air,49.4,132.1,poor
81.31,0.252,1.63,0.54,8.77,2.17,0.72,0.499,3.79,0.32,2.507,0.923,905.0,923.0,266.0,tempering,air,21.3,89.6,poor
89.67,0.728,1.73,0.96,0.43,0.42,2.01,0.114,3.73,0.21,1.442,1.019,791.0,883.0,174.0,annealing,furnace,25.6,93.3,poor
76.75,0.574,1.82,1.03,11.56,3.2,1.86,0.051,3.0,0.16,3.663,1.455,929.0,853.0,54.0,tempering,air,37.0,153.2,poor
95.37,0.206,0.52,0.73,0.5,0.82,0.88,0.091,0.85,0.03,0.68,0.369,734.0,866.0,402.0,normalizing,air,23.2,48.8,poor
91.61,0.359,0.21,0.42,2.39,2.18,2.12,0.475,0.16,0.08,1.576,0.735,733.0,881.0,291.0,normalizing,air,19.6,100.6,poor
79.97,0.241,0.5,1.25,14.21,0.67,2.23,0.205,0.53,0.2,3.835,1.221,961.0,914.0,199.0,tempering,air,29.4,162.9,poor
78.57,0.583,0.61,1.23,10.24,4.79,0.68,0.903,1.95,0.44,3.502,1.415,836.0,825.0,41.0,annealing,furnace,24.5,119.7,poor
79.81,0.126,1.8,1.21,11.06,3.39,0.55,0.466,1.44,0.15,2.979,0.947,905.0,933.0,251.0,quenching,water,45.3,105.1,poor
68.22,0.701,1.45,1.38,13.29,7.94,2.81,0.764,3.43,0.02,4.835,1.88,867.0,852.0,-122.0,annealing,furnace,27.9,215.4,poor
82.35,0.681,1.06,0.36,1.73,7.6,2.88,0.875,2.16,0.3,2.365,1.242,669.0,856.0,63.0,annealing,furnace,24.6,147.8,poor
79.08,0.487,1.47,0.77,11.62,0.57,1.28,0.262,4.08,0.38,3.311,1.296,974.0,893.0,149.0,normalizing,air,32.5,121.3,poor
74.3,0.969,0.4,1.86,8.57,6.74,2.51,0.952,3.29,0.39,4.162,1.899,771.0,804.0,-169.0,tempering,air,57.6,188.1,poor
89.34,0.303,0.31,0.33,4.48,0.79,2.41,0.485,1.26,0.3,1.904,0.791,803.0,926.0,315.0,quenching,air,51.7,112.0,poor
