Fe,C,Si,Mn,Cr,Ni,Mo,N,steel_type,PREN,CPT_C,corrosion_rate_mm_year,corrosion_resistance,environment
97.27,0.157,0.66,1.33,0.21,0.37,0.0,0.0,carbon,0.2,-20.0,0.1343,low,atmospheric
67.22,0.037,0.41,1.82,20.16,7.48,2.7,0.183,duplex,32.0,46.4,0.0098,very_good,acidic
95.29,0.24,0.26,0.56,2.11,1.23,0.31,0.0,low_alloy,3.1,-11.8,0.1383,low,atmospheric
66.07,0.136,0.78,1.37,16.89,13.67,1.02,0.08,stainless,21.5,36.5,0.0098,good,acidic
64.48,0.107,0.21,0.68,19.66,13.58,1.27,0.007,stainless,23.9,34.6,0.0018,good,atmospheric
93.46,0.116,0.28,1.74,3.31,0.57,0.51,0.0,low_alloy,5.0,-20.0,0.5829,low,seawater
98.11,0.426,0.27,0.76,0.27,0.16,0.0,0.0,carbon,0.3,-20.0,0.4974,low,atmospheric
97.36,0.195,0.28,1.86,0.25,0.05,0.0,0.0,carbon,0.2,-20.0,0.6955,low,industrial
98.18,0.234,0.65,0.52,0.14,0.28,0.0,0.0,carbon,0.1,-20.0,0.3123,low,seawater
92.74,0.285,0.76,0.78,4.41,0.83,0.19,0.0,low_alloy,5.0,-20.0,0.3812,low,industrial
91.39,0.162,0.42,1.38,3.88,2.25,0.52,0.0,low_alloy,5.6,-18.0,0.6422,low,industrial
65.74,0.028,0.37,1.89,21.99,6.53,3.3,0.141,duplex,35.2,56.1,0.0023,very_good,acidic
94.12,0.206,0.26,0.79,2.41,1.28,0.94,0.0,low_alloy,5.5,-10.4,0.2873,low,seawater
93.96,0.375,0.94,1.25,3.01,0.1,0.36,0.0,low_alloy,4.2,-20.0,0.1051,low,seawater
89.18,0.35,0.69,1.74,4.96,2.54,0.55,0.0,low_alloy,6.8,-8.4,0.104,low,atmospheric
66.31,0.089,0.48,0.9,19.62,12.12,0.46,0.033,stainless,21.7,34.4,0.0067,good,seawater
69.4,0.147,0.34,1.52,15.4,12.81,0.22,0.162,stainless,18.7,10.8,0.0118,moderate,atmospheric
67.63,0.03,0.59,0.72,20.76,7.46,2.66,0.147,duplex,31.9,45.4,0.0042,very_good,seawater
96.88,0.254,0.28,1.73,0.39,0.46,0.0,0.0,carbon,0.4,-20.0,0.637,low,acidic
97.19,0.499,0.74,0.99,0.17,0.42,0.0,0.0,carbon,0.2,-20.0,0.1419,low,industrial
63.36,0.041,0.54,1.81,24.98,6.12,3.0,0.136,duplex,37.1,72.1,0.0203,very_good,industrial
97.76,0.499,0.52,0.7,0.45,0.07,0.0,0.0,carbon,0.4,-20.0,0.1339,low,industrial
93.18,0.271,0.7,1.76,3.87,0.14,0.09,0.0,low_alloy,4.2,-20.0,0.5141,low,acidic
66.86,0.026,0.63,1.13,21.37,7.53,2.23,0.237,duplex,32.5,54.5,0.0208,very_good,industrial
94.15,0.222,0.61,0.9,0.98,2.99,0.15,0.0,low_alloy,1.5,-20.0,0.243,low,acidic
91.68,0.369,0.73,1.06,4.86,1.23,0.07,0.0,low_alloy,5.1,-15.5,0.3843,low,atmospheric
95.21,0.183,0.88,0.6,1.89,1.01,0.23,0.0,low_alloy,2.6,-20.0,0.2046,low,atmospheric
97.01,0.102,0.26,1.84,0.44,0.35,0.0,0.0,carbon,0.4,-18.1,0.5275,low,seawater
74.7,0.073,0.26,0.52,13.9,8.06,2.3,0.186,stainless,24.5,30.2,0.0183,good,atmospheric
96.58,0.211,0.98,1.97,0.09,0.17,0.0,0.0,carbon,0.1,-20.0,0.1713,low,industrial
69.38,0.048,0.37,1.99,18.61,8.83,0.59,0.187,stainless,23.5,28.5,0.0021,good,atmospheric
97.42,0.448,0.27,1.36,0.29,0.21,0.0,0.0,carbon,0.3,-20.0,0.2991,low,seawater
71.34,0.145,0.41,1.06,17.24,8.72,0.99,0.095,stainless,22.0,12.8,0.0195,good,seawater
92.22,0.288,0.84,1.61,3.12,1.28,0.64,0.0,low_alloy,5.2,-19.6,0.1326,low,seawater
98.21,0.324,0.22,0.74,0.41,0.09,0.0,0.0,carbon,0.4,-20.0,0.2205,low,atmospheric
63.12,0.046,0.27,1.31,25.01,7.96,2.16,0.126,duplex,34.1,59.8,0.0024,very_good,industrial
97.57,0.284,0.87,0.68,0.19,0.41,0.0,0.0,carbon,0.2,-20.0,0.4346,low,industrial
98.12,0.301,0.25,0.92,0.05,0.37,0.0,0.0,carbon,0.0,-20.0,0.3073,low,acidic
90.45,0.32,0.64,1.19,4.82,2.28,0.3,0.0,low_alloy,5.8,-20.0,0.2669,low,acidic
72.83,0.111,0.62,1.37,12.66,11.97,0.43,0.005,stainless,14.2,5.5,0.0086,moderate,atmospheric
93.13,0.313,0.58,1.84,1.45,2.38,0.31,0.0,low_alloy,2.5,-20.0,0.4282,low,industrial
68.52,0.025,0.48,1.12,20.34,6.42,2.82,0.282,duplex,34.2,62.6,0.0041,very_good,industrial
66.53,0.09,0.84,1.29,18.73,10.2,2.32,0.01,stainless,26.5,37.0,0.007,good,industrial
98.63,0.397,0.3,0.51,0.07,0.1,0.0,0.0,carbon,0.1,-20.0,0.1324,low,seawater
66.39,0.035,0.86,0.54,23.52,5.47,2.99,0.185,duplex,36.4,65.3,0.0213,very_good,acidic
93.87,0.317,0.82,1.17,2.32,0.88,0.62,0.0,low_alloy,4.4,-20.0,0.6154,low,industrial
69.85,0.072,0.57,0.58,18.12,8.51,2.19,0.103,stainless,27.0,37.2,0.0346,good,acidic
73.38,0.123,0.95,0.9,14.44,8.32,1.72,0.169,stainless,22.8,34.6,0.0036,good,seawater
64.72,0.044,0.48,1.49,17.59,12.91,2.63,0.134,stainless,28.4,44.7,0.021,good,atmospheric
59.84,0.032,0.52,1.79,26.44,7.34,3.76,0.281,duplex,43.4,75.8,0.0111,excellent,seawater
97.58,0.21,0.96,0.74,0.49,0.03,0.0,0.0,carbon,0.5,-20.0,0.1946,low,acidic
96.52,0.392,0.8,1.68,0.11,0.49,0.0,0.0,carbon,0.1,-20.0,0.6823,low,acidic
97.44,0.158,0.59,1.11,0.24,0.47,0.0,0.0,carbon,0.2,-20.0,0.3101,low,acidic
77.66,0.026,0.38,1.32,13.23,7.06,0.26,0.06,stainless,15.0,3.0,0.0294,moderate,acidic
65.84,0.032,0.61,1.78,21.8,6.2,3.47,0.263,duplex,37.5,55.2,0.0164,very_good,acidic
62.78,0.027,0.9,0.8,24.7,7.9,2.75,0.146,duplex,36.1,60.1,0.0117,very_good,atmospheric
97.19,0.406,0.45,1.63,0.06,0.27,0.0,0.0,carbon,0.1,-20.0,0.426,low,industrial
97.84,0.177,0.58,0.75,0.45,0.21,0.0,0.0,carbon,0.4,-20.0,0.2148,low,industrial
62.89,0.021,0.83,1.69,25.53,5.83,3.06,0.151,duplex,38.1,70.3,0.0091,very_good,atmospheric
98.1,0.146,0.38,0.7,0.39,0.28,0.0,0.0,carbon,0.4,-20.0,0.4099,low,atmospheric
62.81,0.023,0.31,1.48,26.68,5.22,3.21,0.261,duplex,41.5,71.5,0.0013,excellent,atmospheric
97.78,0.389,0.4,1.13,0.08,0.22,0.0,0.0,carbon,0.1,-20.0,0.1165,low,acidic
69.64,0.106,0.31,1.07,15.33,12.93,0.56,0.053,stainless,18.0,14.1,0.0442,moderate,seawater
96.32,0.432,0.96,1.96,0.33,0.01,0.0,0.0,carbon,0.3,-20.0,0.1498,low,seawater
93.12,0.284,0.37,1.11,2.2,2.12,0.8,0.0,low_alloy,4.8,-13.9,0.7328,low,atmospheric
69.96,0.03,0.2,1.36,20.25,5.33,2.74,0.12,duplex,31.2,49.3,0.0029,very_good,industrial
66.36,0.028,0.84,0.96,21.59,7.58,2.36,0.276,duplex,33.8,59.8,0.0014,very_good,industrial
64.63,0.023,0.37,0.85,26.24,5.62,2.07,0.211,duplex,36.4,63.5,0.001,very_good,industrial
73.08,0.031,0.66,0.87,16.42,8.77,0.09,0.092,stainless,18.2,12.3,0.0155,moderate,acidic
91.33,0.325,0.35,1.73,3.11,2.61,0.55,0.0,low_alloy,4.9,-16.8,0.2353,low,seawater
92.86,0.394,0.44,1.0,2.9,2.06,0.35,0.0,low_alloy,4.0,-20.0,0.1079,low,acidic
70.8,0.042,0.57,0.85,15.66,9.69,2.3,0.1,stainless,24.8,32.0,0.0031,good,atmospheric
67.73,0.02,0.74,1.77,21.17,5.34,3.11,0.126,duplex,33.4,55.5,0.0095,very_good,seawater
97.56,0.149,0.7,1.21,0.01,0.37,0.0,0.0,carbon,0.0,-20.0,0.4377,low,atmospheric
64.25,0.145,0.4,1.98,20.0,12.41,0.77,0.046,stainless,23.3,27.4,0.0051,good,seawater
97.71,0.484,0.34,0.76,0.41,0.3,0.0,0.0,carbon,0.4,-20.0,0.5697,low,acidic
70.09,0.057,0.96,1.93,16.71,9.82,0.36,0.074,stainless,19.1,17.6,0.0092,moderate,seawater
98.53,0.189,0.38,0.51,0.37,0.03,0.0,0.0,carbon,0.4,-20.0,0.9092,low,seawater
71.43,0.117,0.27,1.61,14.1,10.16,2.21,0.099,stainless,23.0,25.7,0.0035,good,acidic
66.79,0.034,0.97,1.74,20.52,6.52,3.28,0.151,duplex,33.8,55.9,0.0054,very_good,seawater
97.3,0.42,0.89,0.99,0.08,0.33,0.0,0.0,carbon,0.1,-20.0,0.1167,low,seawater
96.3,0.133,0.29,1.48,0.52,0.98,0.3,0.0,low_alloy,1.5,-20.0,0.6525,low,industrial
64.67,0.047,0.24,2.0,25.51,5.17,2.17,0.198,duplex,35.8,55.8,0.0054,very_good,atmospheric
97.43,0.409,0.39,1.51,0.21,0.06,0.0,0.0,carbon,0.2,-20.0,0.2588,low,atmospheric
97.21,0.23,0.47,1.53,0.31,0.25,0.0,0.0,carbon,0.3,-20.0,0.1657,low,acidic
91.99,0.387,0.85,0.99,3.78,1.26,0.75,0.0,low_alloy,6.2,-17.2,0.4413,low,acidic
97.5,0.475,0.54,1.02,0.29,0.18,0.0,0.0,carbon,0.3,-20.0,0.1316,low,atmospheric
94.76,0.197,0.66,0.72,2.56,1.09,0.01,0.0,low_alloy,2.6,-20.0,0.247,low,seawater
73.0,0.053,0.89,1.69,15.61,7.34,1.34,0.069,stainless,21.1,21.5,0.0504,good,acidic
63.19,0.037,0.64,0.62,26.63,5.6,3.11,0.176,duplex,39.7,65.6,0.0128,very_good,atmospheric
69.07,0.034,0.78,0.69,20.01,6.22,2.92,0.283,duplex,34.2,52.4,0.0054,very_good,acidic
65.04,0.042,0.82,0.69,24.16,6.24,2.8,0.217,duplex,36.9,60.1,0.009,very_good,atmospheric
97.37,0.2,0.53,1.19,0.49,0.21,0.0,0.0,carbon,0.5,-20.0,0.1247,low,seawater
65.48,0.03,0.23,0.98,23.26,7.43,2.39,0.222,duplex,34.7,52.7,0.0089,very_good,atmospheric
72.74,0.149,0.27,1.52,17.05,7.95,0.31,0.008,stainless,18.2,15.2,0.0203,moderate,seawater
65.54,0.032,0.78,1.93,22.48,6.58,2.37,0.291,duplex,34.9,60.5,0.0142,very_good,seawater
63.83,0.023,0.45,1.82,19.99,13.42,0.36,0.109,stainless,22.9,19.3,0.013,good,seawater
69.28,0.021,0.8,1.2,22.04,4.15,2.28,0.227,duplex,33.2,47.5,0.0048,very_good,industrial
97.09,0.246,0.68,1.71,0.17,0.1,0.0,0.0,carbon,0.2,-20.0,0.2268,low,acidic
74.42,0.129,0.79,1.35,12.57,9.77,0.78,0.187,stainless,18.2,17.4,0.0026,moderate,atmospheric
74.53,0.084,0.57,0.84,17.07,6.36,0.43,0.118,stainless,20.4,31.1,0.0038,good,industrial
94.11,0.118,0.86,0.59,2.45,1.57,0.31,0.0,low_alloy,3.5,-19.3,0.2182,low,seawater
62.32,0.041,0.25,1.86,26.52,5.89,2.91,0.206,duplex,39.4,71.9,0.012,very_good,atmospheric
67.71,0.14,0.57,1.97,19.95,7.31,2.25,0.116,stainless,29.2,45.3,0.0058,good,atmospheric
68.46,0.036,0.78,0.55,21.75,5.8,2.42,0.2,duplex,32.9,56.4,0.0155,very_good,atmospheric
97.09,0.307,0.81,1.13,0.29,0.38,0.0,0.0,carbon,0.3,-20.0,0.2431,low,acidic
69.13,0.027,0.67,1.04,20.84,5.18,2.92,0.196,duplex,33.6,51.9,0.0262,very_good,acidic
67.26,0.033,0.91,1.64,20.34,6.4,3.21,0.217,duplex,34.4,50.2,0.0117,very_good,atmospheric
68.48,0.043,0.36,0.83,22.69,4.89,2.58,0.136,duplex,33.4,47.7,0.0012,very_good,atmospheric
97.35,0.26,0.92,1.27,0.01,0.19,0.0,0.0,carbon,0.0,-20.0,0.7583,low,atmospheric
64.55,0.058,0.27,1.05,17.6,13.89,2.48,0.111,stainless,27.5,40.4,0.0019,good,industrial
70.27,0.054,0.41,0.94,15.11,12.7,0.45,0.061,stainless,17.6,7.5,0.0296,moderate,industrial
74.16,0.035,0.3,1.58,15.74,7.48,0.65,0.057,stainless,18.8,13.5,0.0167,moderate,atmospheric
97.49,0.376,0.52,1.34,0.19,0.08,0.0,0.0,carbon,0.2,-20.0,0.3714,low,acidic
95.66,0.131,0.81,1.75,0.5,0.22,0.92,0.0,low_alloy,3.6,-20.0,0.2456,low,industrial
62.47,0.029,0.79,0.54,25.9,7.32,2.78,0.166,duplex,37.7,63.5,0.0068,very_good,acidic
96.76,0.358,0.99,1.29,0.13,0.47,0.0,0.0,carbon,0.1,-20.0,0.2648,low,atmospheric
96.93,0.294,0.29,1.89,0.47,0.12,0.0,0.0,carbon,0.5,-20.0,0.1456,low,industrial
90.07,0.337,0.55,1.47,4.63,2.85,0.08,0.0,low_alloy,4.9,-20.0,0.4244,low,acidic
93.35,0.374,0.61,1.06,1.49,2.6,0.51,0.0,low_alloy,3.2,-20.0,0.2113,low,acidic
94.13,0.322,0.8,0.53,2.08,1.22,0.91,0.0,low_alloy,5.1,-20.0,0.4344,low,atmospheric
63.12,0.048,0.76,0.92,25.85,6.52,2.56,0.231,duplex,38.0,61.9,0.0112,very_good,industrial
96.9,0.322,0.97,1.21,0.45,0.15,0.0,0.0,carbon,0.4,-20.0,0.1213,low,seawater
96.6,0.235,0.79,1.83,0.13,0.42,0.0,0.0,carbon,0.1,-20.0,0.1631,low,industrial
67.5,0.1,0.7,0.97,15.14,13.49,1.92,0.167,stainless,24.2,40.4,0.0143,good,industrial
67.53,0.038,0.29,1.74,22.82,4.6,2.83,0.162,duplex,34.7,46.0,0.008,very_good,seawater
69.59,0.022,0.31,1.08,16.37,9.83,2.68,0.111,stainless,27.0,37.4,0.0107,good,acidic
71.9,0.047,0.56,0.65,20.47,4.12,2.0,0.237,duplex,30.9,45.4,0.005,very_good,acidic
91.51,0.378,0.62,1.36,3.91,2.17,0.04,0.0,low_alloy,4.1,-17.8,0.1964,low,atmospheric
69.05,0.046,0.36,0.86,20.16,6.5,2.79,0.233,duplex,33.1,54.3,0.0378,very_good,acidic
69.42,0.033,0.61,1.47,16.72,9.36,2.29,0.106,stainless,26.0,35.2,0.0024,good,seawater
64.24,0.035,0.64,1.89,25.74,4.55,2.6,0.29,duplex,39.0,69.8,0.0048,very_good,seawater
62.64,0.044,0.34,1.42,25.63,6.48,3.16,0.283,duplex,40.6,72.5,0.0015,excellent,atmospheric
91.09,0.231,0.24,1.07,4.2,2.2,0.97,0.0,low_alloy,7.4,-15.9,0.209,low,acidic
96.29,0.295,0.87,1.71,0.46,0.37,0.0,0.0,carbon,0.5,-20.0,0.1987,low,acidic
93.53,0.326,0.21,1.47,1.43,2.58,0.46,0.0,low_alloy,2.9,-19.9,0.1478,low,seawater
90.32,0.22,0.34,1.0,4.89,2.47,0.76,0.0,low_alloy,7.4,-1.9,0.1955,low,industrial
65.06,0.021,0.46,1.65,24.15,5.43,3.12,0.102,duplex,36.1,67.6,0.013,very_good,seawater
93.71,0.102,0.74,1.18,1.68,1.65,0.94,0.0,low_alloy,4.8,-18.0,0.1279,low,industrial
70.02,0.077,0.24,1.16,18.23,9.31,0.96,0.018,stainless,21.7,27.8,0.0134,good,industrial
97.2,0.298,0.62,1.23,0.43,0.23,0.0,0.0,carbon,0.4,-20.0,0.1988,low,seawater
93.23,0.138,0.96,1.72,1.31,2.38,0.28,0.0,low_alloy,2.2,-18.8,0.1098,low,seawater
77.44,0.142,0.29,1.22,12.31,8.33,0.15,0.114,stainless,14.6,11.4,0.0137,moderate,industrial
95.56,0.327,0.84,1.78,0.77,0.45,0.28,0.0,low_alloy,1.7,-20.0,0.4767,low,seawater
92.98,0.147,0.27,0.91,3.01,2.62,0.07,0.0,low_alloy,3.2,-20.0,0.3113,low,atmospheric
91.75,0.345,0.99,1.24,3.88,1.68,0.12,0.0,low_alloy,4.3,-18.7,0.4988,low,acidic
97.38,0.268,0.88,0.97,0.05,0.46,0.0,0.0,carbon,0.0,-20.0,0.3799,low,industrial
70.88,0.05,0.74,0.99,16.91,8.04,2.37,0.031,stainless,25.2,27.0,0.011,good,seawater
97.89,0.377,0.32,1.01,0.25,0.15,0.0,0.0,carbon,0.2,-20.0,0.3015,low,atmospheric
72.52,0.041,0.43,1.49,17.31,7.43,0.67,0.106,stainless,21.2,26.9,0.0029,good,industrial
97.15,0.149,0.73,1.31,0.32,0.33,0.0,0.0,carbon,0.3,-20.0,0.3743,low,industrial
68.29,0.049,0.81,0.66,21.55,4.49,3.88,0.266,duplex,38.6,68.7,0.0142,very_good,atmospheric
98.06,0.178,0.55,0.58,0.25,0.38,0.0,0.0,carbon,0.3,-20.0,0.1236,low,seawater
98.65,0.214,0.36,0.54,0.07,0.17,0.0,0.0,carbon,0.1,-20.0,0.1468,low,atmospheric
74.8,0.082,0.6,1.04,13.39,9.43,0.58,0.075,stainless,16.5,19.1,0.0117,moderate,seawater
64.59,0.03,0.85,1.84,22.49,6.95,3.06,0.186,duplex,35.6,52.7,0.0073,very_good,atmospheric
97.99,0.273,0.56,0.81,0.13,0.24,0.0,0.0,carbon,0.1,-20.0,0.5675,low,acidic
72.07,0.119,0.68,0.69,15.21,8.96,2.15,0.122,stainless,24.2,34.7,0.0019,good,atmospheric
93.0,0.253,0.23,1.79,3.59,0.27,0.87,0.0,low_alloy,6.5,-12.6,0.1056,low,acidic
65.69,0.124,0.26,0.73,18.88,13.86,0.35,0.105,stainless,21.7,31.3,0.0032,good,acidic
89.75,0.204,0.8,0.88,4.57,2.84,0.95,0.0,low_alloy,7.7,-3.5,0.1257,low,acidic
66.75,0.067,0.39,1.35,18.65,11.96,0.83,0.003,stainless,21.4,24.7,0.0121,good,industrial
92.71,0.279,0.29,1.11,3.23,1.43,0.95,0.0,low_alloy,6.4,-17.1,0.529,low,industrial
97.66,0.27,0.22,1.18,0.33,0.33,0.0,0.0,carbon,0.3,-20.0,0.2623,low,atmospheric
98.03,0.362,0.5,0.86,0.13,0.12,0.0,0.0,carbon,0.1,-20.0,0.3296,low,industrial
63.91,0.026,0.63,1.01,26.19,5.84,2.25,0.143,duplex,35.9,59.7,0.0257,very_good,acidic
91.69,0.301,0.57,1.94,4.49,0.88,0.14,0.0,low_alloy,4.9,-11.7,0.3007,low,atmospheric
98.15,0.369,0.26,0.97,0.02,0.22,0.0,0.0,carbon,0.0,-20.0,1.184,low,industrial
93.22,0.219,0.54,1.08,4.14,0.65,0.15,0.0,low_alloy,4.7,-13.2,0.8845,low,acidic
69.21,0.132,0.28,1.81,19.1,7.26,2.15,0.056,stainless,27.1,32.8,0.0049,good,industrial
97.37,0.274,0.93,1.01,0.21,0.2,0.0,0.0,carbon,0.2,-20.0,0.1062,low,industrial
91.94,0.316,0.36,0.68,3.16,2.86,0.69,0.0,low_alloy,5.5,-6.0,0.1362,low,industrial
92.0,0.36,0.28,0.81,3.77,1.99,0.79,0.0,low_alloy,6.4,-12.7,0.1078,low,acidic
70.71,0.139,0.64,1.23,13.78,11.3,2.07,0.129,stainless,22.7,30.7,0.0011,good,industrial
96.67,0.297,1.0,1.66,0.17,0.2,0.0,0.0,carbon,0.2,-20.0,0.5198,low,acidic
61.81,0.027,0.97,1.21,25.38,7.23,3.1,0.279,duplex,40.1,70.7,0.0466,excellent,industrial
64.45,0.039,0.88,1.57,24.86,4.86,3.18,0.163,duplex,37.9,57.2,0.0185,very_good,atmospheric
64.66,0.021,0.61,0.73,25.95,5.55,2.36,0.118,duplex,35.6,67.4,0.0087,very_good,seawater
72.41,0.04,0.52,0.96,15.95,7.31,2.63,0.186,stainless,27.6,41.4,0.0043,good,atmospheric
97.03,0.373,0.58,1.51,0.44,0.06,0.0,0.0,carbon,0.4,-20.0,0.1751,low,industrial
98.0,0.119,0.32,1.09,0.24,0.23,0.0,0.0,carbon,0.2,-20.0,0.3565,low,atmospheric
62.61,0.06,0.95,1.7,18.26,13.91,2.34,0.169,stainless,28.7,48.1,0.024,good,industrial
97.73,0.404,0.56,0.74,0.11,0.46,0.0,0.0,carbon,0.1,-20.0,0.4217,low,seawater
95.52,0.155,0.67,1.8,1.65,0.1,0.09,0.0,low_alloy,2.0,-14.6,0.4319,low,acidic
66.69,0.04,0.26,1.26,22.45,6.57,2.44,0.296,duplex,35.2,53.7,0.0044,very_good,atmospheric
74.73,0.076,0.38,1.66,14.45,8.0,0.55,0.157,stainless,18.8,13.0,0.0028,moderate,acidic
66.46,0.038,0.65,0.94,21.29,6.82,3.65,0.166,duplex,36.0,59.8,0.0018,very_good,atmospheric
71.91,0.118,0.45,1.42,15.67,9.24,1.1,0.092,stainless,20.8,24.1,0.007,good,acidic
93.82,0.348,0.3,1.9,1.42,2.03,0.19,0.0,low_alloy,2.0,-20.0,0.1359,low,seawater
92.47,0.139,0.63,1.12,2.62,2.76,0.26,0.0,low_alloy,3.5,-17.2,0.2637,low,acidic
96.88,0.44,0.99,1.62,0.03,0.04,0.0,0.0,carbon,0.0,-20.0,0.4259,low,atmospheric
97.25,0.268,0.81,1.31,0.31,0.05,0.0,0.0,carbon,0.3,-20.0,0.1329,low,atmospheric
96.8,0.123,0.5,1.95,0.37,0.25,0.0,0.0,carbon,0.4,-20.0,0.6647,low,atmospheric
61.13,0.027,0.85,1.82,25.1,7.78,3.14,0.143,duplex,37.8,59.1,0.0031,very_good,seawater
66.56,0.034,0.41,1.43,24.68,4.45,2.27,0.173,duplex,34.9,62.5,0.0056,very_good,seawater
92.22,0.331,0.7,1.86,1.34,2.76,0.79,0.0,low_alloy,3.9,-20.0,0.1179,low,atmospheric
67.16,0.035,0.35,1.64,24.31,4.26,2.06,0.184,duplex,34.1,47.2,0.012,very_good,industrial
93.34,0.114,0.46,1.7,1.32,2.08,0.99,0.0,low_alloy,4.6,-18.9,0.7662,low,industrial
67.67,0.051,0.74,1.12,19.8,7.95,2.65,0.035,stainless,29.1,46.9,0.0368,good,acidic
97.39,0.264,0.44,1.1,0.32,0.49,0.0,0.0,carbon,0.3,-20.0,0.44,low,seawater
96.89,0.382,0.59,1.74,0.27,0.12,0.0,0.0,carbon,0.3,-20.0,0.2179,low,acidic
92.12,0.112,0.69,1.15,4.0,0.99,0.93,0.0,low_alloy,7.1,-19.9,0.5725,low,seawater
96.54,0.142,0.81,1.9,0.3,0.31,0.0,0.0,carbon,0.3,-17.9,0.2171,low,atmospheric
96.94,0.296,0.98,0.84,0.45,0.49,0.0,0.0,carbon,0.5,-20.0,0.1918,low,industrial
67.29,0.025,0.8,0.94,22.78,5.46,2.56,0.146,duplex,33.6,53.8,0.0133,very_good,acidic
95.61,0.341,0.93,0.71,1.25,0.47,0.68,0.0,low_alloy,3.5,-20.0,0.6304,low,industrial
91.16,0.203,0.76,1.31,4.8,1.7,0.07,0.0,low_alloy,5.0,-19.9,0.27,low,atmospheric
97.32,0.161,0.42,1.54,0.33,0.23,0.0,0.0,carbon,0.3,-20.0,0.5222,low,seawater
71.77,0.062,0.73,1.39,16.24,8.87,0.83,0.11,stainless,20.7,23.9,0.0319,good,industrial
69.56,0.068,0.4,1.76,17.34,10.8,0.01,0.062,stainless,18.4,13.9,0.0021,moderate,atmospheric
68.59,0.025,0.65,1.02,21.66,4.94,2.96,0.164,duplex,34.1,58.6,0.0179,very_good,atmospheric
98.3,0.262,0.28,1.02,0.02,0.12,0.0,0.0,carbon,0.0,-20.0,0.1556,low,industrial
71.27,0.037,0.98,1.75,13.83,11.41,0.59,0.136,stainless,18.0,25.9,0.0027,moderate,acidic
96.59,0.269,0.3,1.86,0.5,0.48,0.0,0.0,carbon,0.5,-20.0,0.1872,low,seawater
92.32,0.356,0.87,1.02,1.98,2.45,0.99,0.0,low_alloy,5.3,-20.0,0.3484,low,seawater
96.73,0.415,0.82,1.64,0.08,0.32,0.0,0.0,carbon,0.1,-20.0,0.1741,low,acidic
91.72,0.153,0.32,0.84,4.16,2.72,0.08,0.0,low_alloy,4.4,-20.0,0.2423,low,seawater
65.08,0.022,0.96,0.66,24.46,4.6,3.94,0.28,duplex,41.9,68.5,0.0102,excellent,acidic
92.23,0.331,0.6,0.9,3.4,1.71,0.83,0.0,low_alloy,6.1,-14.9,0.2939,low,seawater
66.01,0.098,0.33,1.31,17.04,13.48,1.55,0.199,stainless,25.3,32.1,0.0029,good,atmospheric
95.18,0.163,0.38,1.12,1.94,0.4,0.81,0.0,low_alloy,4.6,-20.0,0.1032,low,acidic
62.08,0.047,0.29,1.41,25.86,7.36,2.82,0.128,duplex,37.2,58.1,0.0021,very_good,atmospheric
63.39,0.028,0.21,1.68,23.37,7.72,3.5,0.111,duplex,36.7,55.9,0.009,very_good,industrial
97.09,0.163,0.91,1.01,0.44,0.39,0.0,0.0,carbon,0.4,-20.0,0.6321,low,seawater
68.78,0.036,0.65,1.99,13.54,12.17,2.67,0.162,stainless,24.9,30.0,0.0017,good,acidic
98.24,0.271,0.23,0.97,0.23,0.06,0.0,0.0,carbon,0.2,-20.0,0.1319,low,atmospheric
96.21,0.451,0.74,1.66,0.46,0.48,0.0,0.0,carbon,0.5,-20.0,0.4613,low,seawater
75.02,0.063,0.56,0.54,13.25,7.9,2.52,0.139,stainless,23.8,34.1,0.0082,good,atmospheric
91.33,0.194,0.22,1.22,3.23,2.9,0.9,0.0,low_alloy,6.2,-19.1,0.1799,low,seawater
96.6,0.342,0.58,1.99,0.1,0.39,0.0,0.0,carbon,0.1,-20.0,0.2745,low,acidic
63.95,0.032,0.78,1.43,22.92,7.64,3.08,0.171,duplex,35.8,64.9,0.0047,very_good,seawater
94.12,0.219,0.36,1.47,0.82,2.83,0.18,0.0,low_alloy,1.4,-20.0,0.194,low,atmospheric
92.39,0.263,0.89,1.31,2.47,2.43,0.24,0.0,low_alloy,3.3,-17.3,0.5606,low,seawater
63.73,0.048,0.56,1.25,24.82,6.47,2.84,0.291,duplex,38.9,63.6,0.0044,very_good,atmospheric
91.18,0.139,0.38,1.68,4.2,1.88,0.54,0.0,low_alloy,6.0,-10.4,0.4269,low,industrial
97.72,0.256,0.71,0.81,0.12,0.38,0.0,0.0,carbon,0.1,-20.0,0.1122,low,seawater
91.98,0.356,0.97,0.64,4.96,0.71,0.37,0.0,low_alloy,6.2,-13.4,0.2483,low,acidic
92.72,0.282,0.72,1.24,1.99,2.78,0.27,0.0,low_alloy,2.9,-20.0,0.7273,low,industrial
71.31,0.099,0.79,0.71,18.26,6.65,2.14,0.033,stainless,25.9,31.6,0.0189,good,acidic
97.89,0.254,0.92,0.68,0.18,0.07,0.0,0.0,carbon,0.2,-20.0,1.2214,low,seawater
91.27,0.145,0.57,0.94,3.5,2.97,0.61,0.0,low_alloy,5.5,-17.1,0.1193,low,seawater
90.45,0.266,0.3,1.66,3.89,2.63,0.79,0.0,low_alloy,6.5,-18.4,0.2701,low,atmospheric
97.86,0.127,0.64,1.03,0.26,0.09,0.0,0.0,carbon,0.3,-17.0,0.5759,low,industrial
59.58,0.049,0.71,1.71,26.29,7.94,3.41,0.292,duplex,42.2,77.5,0.0278,excellent,industrial
